date,time,tweet,tweetid
2016-12-11 13:51:47+00:00,13:51:47,"I spent Friday campaigning with John Kennedy, of the Great State of Louisiana, for the U.S.Senate. The election is over - JOHN WON!",807945982633709000
2016-12-11 15:29:10+00:00,15:29:10,"Whether I choose him or not for ""State""- Rex Tillerson, the Chairman &amp; CEO of ExxonMobil, is a world class player and dealmaker. Stay tuned!",807970490635743000
2016-12-12 00:32:28+00:00,00:32:28,Will be interviewed on @FoxNews at 10:00 P.M. Enjoy!,808107215492091000
2016-12-12 01:02:14+00:00,01:02:14,"Just watched @NBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although @CNN is right up there!",808114703922843000
2016-12-12 13:17:54+00:00,13:17:54,Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!,808299841147248000
2016-12-12 13:21:20+00:00,13:21:20,"Unless you catch ""hackers"" in the act, it is very hard to determine who was doing the hacking. Why wasn't this brought up before election?",808300706914594000
2016-12-12 13:26:13+00:00,13:26:13,The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.,808301935728230000
2016-12-12 22:25:52+00:00,22:25:52,"#ThankYouTour2016 

Tue: West Allis, WI. 

Thur: Hershey, PA. 

Fri: Orlando, FL. 

Sat: Mobile, AL. 

Tickets:… https://t.co/OJ8S7iVzFx",808437742904418000
2016-12-12 23:40:48+00:00,23:40:48,The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!,808456602076545000
2016-12-13 00:33:05+00:00,00:33:05,I will be making my announcement on the next Secretary of State tomorrow morning.,808469755749339000
2016-12-13 04:26:13+00:00,04:26:13,"Even though I am not mandated by law to do so, I will be leaving my busineses before January 20th so that I can focus full time on the......",808528428123254000
2016-12-13 04:32:01+00:00,04:32:01,"Presidency. Two of my children, Don and Eric, plus executives, will manage them. No new deals will be done during my term(s) in office.",808529888630239000
2016-12-13 04:41:33+00:00,04:41:33,"I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!",808532286664822000
2016-12-13 11:43:38+00:00,11:43:38,"I have chosen one of the truly great business leaders of the world, Rex Tillerson, Chairman and CEO of ExxonMobil, to be Secretary of State.",808638507161882000
2016-12-13 11:57:35+00:00,11:57:35,Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!,808642018612310000
2016-12-13 12:44:06+00:00,12:44:06,The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.,808653723639697000
2016-12-13 21:33:53+00:00,21:33:53,"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! 
#ThankYouTour2016 

Tickets:… https://t.co/1RFmKCMgyw",808787048144453000
2016-12-14 00:52:40+00:00,00:52:40,"RT @DanScavino: Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…",808837073423794000
2016-12-14 03:48:55+00:00,03:48:55,"Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch:… https://t.co/iEGWZLuiFE",808881429715316000
2016-12-14 18:07:55+00:00,18:07:55,.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9,809097603010981000
2016-12-15 13:05:55+00:00,13:05:55,"Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!",809383989018497000
2016-12-15 13:09:14+00:00,13:09:14,"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!",809384826193276000
2016-12-15 13:28:54+00:00,13:28:54,"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!",809389774066814000
2016-12-15 14:24:29+00:00,14:24:29,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",809403760099422000
2016-12-15 22:27:16+00:00,22:27:16,"Join me in Mobile, Alabama on Sat. at 3pm! #ThankYouTour2016 
Tickets: https://t.co/GGgbjl8Zo6 https://t.co/opKrWO4k0C",809525257371578000
2016-12-16 01:32:56+00:00,01:32:56,"Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://t.co/7R382qWfWS… https://t.co/yB6u5FEfHq",809571983428120000
2016-12-16 11:09:19+00:00,11:09:19,Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,809717035353722000
2016-12-16 16:03:09+00:00,16:03:09,"Well, we all did it, together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!",809790978332786000
2016-12-16 16:54:28+00:00,16:54:28,"#ThankYouTour2016 

Tonight- Orlando, Florida 
Tickets: https://t.co/JwQeccp79N

Tomorrow- Mobile, Alabama
Tickets:… https://t.co/Cq5AwcuzT9",809803893920165000
2016-12-17 03:52:01+00:00,03:52:01,"Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI- Watch:… https://t.co/3vgtzSJsFu",809969373754654000
2016-12-17 13:05:02+00:00,13:05:02,"Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!",810108542921408000
2016-12-17 13:07:22+00:00,13:07:22,"""@EazyMF_E: @realDonaldTrump Many people are now saying you will be an extremely successful president! #MakeAmericaGreatAgain""  Thank you!",810109131537481000
2016-12-17 13:20:23+00:00,13:20:23,"Mobile, Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected, see you there!",810112407309844000
2016-12-17 13:57:20+00:00,13:57:20,China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.,810121703288410000
2016-12-17 21:17:39+00:00,21:17:39,"RT @DanScavino: Join President-elect Trump LIVE from Mobile, Alabama via his #Facebook page! #ThankYouTour2016 
Watch: https://t.co/btzN080…",810232514749075000
2016-12-18 00:12:05+00:00,00:12:05,"Thank you Alabama! From now on, it’s going to be #AmericaFirst. Our goal is to bring back that wonderful phrase:… https://t.co/4UAazd7TmF",810276411177107000
2016-12-18 00:59:25+00:00,00:59:25,We should tell China that we don't want the drone they stole back.- let them keep it!,810288321880555000
2016-12-18 21:54:40+00:00,21:54:40,"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned &amp; called terrible names!",810604216771284000
2016-12-19 23:21:11+00:00,23:21:11,"Today there were terror attacks in Turkey, Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!",810988379051610000
2016-12-19 23:51:41+00:00,23:51:41,"We did it! Thank you to all of my great supporters, we just officially won the election (despite all of the distorted and inaccurate media).",810996052241293000
2016-12-20 02:46:01+00:00,02:46:01,"""@Franklin_Graham: Congratulations to President-elect @realDonaldTrump--the electoral votes are in and it's official."" Thank you Franklin!",811039925571354000
2016-12-20 02:50:25+00:00,02:50:25,"""@mike_pence: Congratulations to @RealDonaldTrump; officially elected President of the United States today by the Electoral College!""",811041034323054000
2016-12-20 13:03:59+00:00,13:03:59,"Bill Clinton stated that I called him after the election. Wrong, he called me (with a very nice congratulations). He ""doesn't know much"" ...",811195441710764000
2016-12-20 13:09:18+00:00,13:09:18,"especially how to get people, even with an unlimited budget, out to vote in the vital swing states ( and more). They focused on wrong states",811196778779463000
2016-12-20 20:27:57+00:00,20:27:57,"Yes, it is true - Carlos Slim, the great businessman from Mexico, called me about getting together for a meeting. We met, HE IS A GREAT GUY!",811307169043849000
2016-12-21 13:15:14+00:00,13:15:14,Campaigning to win the Electoral College is much more difficult &amp; sophisticated than the popular vote. Hillary focused on the wrong states!,811560662853939000
2016-12-21 13:24:29+00:00,13:24:29,"I would have done even better in the election, if that is possible, if the winner was based on popular vote - but would campaign differently",811562990285848000
2016-12-21 13:29:38+00:00,13:29:38,I have not heard any of the pundits or commentators discussing the fact that I spent FAR LESS MONEY on the win than Hillary on the loss!,811564284706689000
2016-12-22 03:39:33+00:00,03:39:33,"I met some really great Air Force GENERALS and Navy ADMIRALS today, talking about airplane capability and pricing. Very impressive people!",811778176120668000
2016-12-22 13:37:04+00:00,13:37:04,The resolution being considered at the United Nations Security Council regarding Israel should be vetoed....cont: https://t.co/s8rXKKZNF1,811928543366148000
2016-12-22 16:41:52+00:00,16:41:52,"Someone incorrectly stated that the phrase ""DRAIN THE SWAMP"" was no longer being used by me. Actually, we will always be trying to DTS.",811975049431416000
2016-12-22 16:50:30+00:00,16:50:30,The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes,811977223326625000
2016-12-22 22:26:05+00:00,22:26:05,"Based on the tremendous cost and cost overruns of the Lockheed Martin F-35, I have asked Boeing to price-out a comparable F-18 Super Hornet!",812061677160202000
2016-12-23 01:59:58+00:00,01:59:58,"The so-called ""A"" list celebrities are all wanting tixs to the inauguration, but look what they did for Hillary, NOTHING. I want the PEOPLE!",812115501791006000
2016-12-23 11:53:05+00:00,11:53:05,"My wonderful son, Eric, will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with...",812264762981675000
2016-12-23 11:58:36+00:00,11:58:36,"my presidency. Isn't this a ridiculous shame? He loves these kids, has raised millions of dollars for them, and now must stop. Wrong answer!",812266152684650000
2016-12-23 20:14:34+00:00,20:14:34,"As to the U.N., things will be different after Jan. 20th.",812390964740427000
2016-12-23 21:17:42+00:00,21:17:42,"The terrorist who killed so many people in Germany said just before crime, ""by God's will we will slaughter you pigs, I swear, we will......",812406855469252000
2016-12-23 21:23:00+00:00,21:23:00,"slaughter you. This is a purely religious threat, which turned into reality. Such hatred! When will the U.S., and all countries, fight back?",812408189492797000
2016-12-24 00:13:02+00:00,00:13:02,"Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity.""  So true!",812450976670121000
2016-12-24 20:59:30+00:00,20:59:30,".@NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!",812764662500622000
2016-12-24 21:33:27+00:00,21:33:27,"The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad, but we will get it done anyway!",812773204561379000
2016-12-24 21:44:32+00:00,21:44:32,"Happy #Hanukkah https://t.co/UvZwtykV1E",812775995837218000
2016-12-25 12:46:41+00:00,12:46:41,"#MerryChristmas https://t.co/5GgDmJrGMS",813003030186622000
2016-12-25 17:48:48+00:00,17:48:48,"Merry Christmas and a very, very, very , very Happy New Year to everyone!",813079058896535000
2016-12-26 21:36:28+00:00,21:36:28,"President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc.",813498739923054000
2016-12-26 21:41:58+00:00,21:41:58,"The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!",813500123053490000
2016-12-26 23:32:28+00:00,23:32:28,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,813527932165558000
2016-12-27 02:53:20+00:00,02:53:20,"I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!",813578484572450000
2016-12-27 03:06:59+00:00,03:06:59,"The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!",813581917215977000
2016-12-27 21:52:29+00:00,21:52:29,"President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!",813865160163098000
2016-12-28 03:10:07+00:00,03:10:07,"The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!",813945096269860000
2016-12-28 14:07:13+00:00,14:07:13,Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!,814110460761018000
2016-12-28 14:19:46+00:00,14:19:46,"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......",814113616110751000
2016-12-28 14:25:11+00:00,14:25:11,"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!",814114980983427000
2016-12-28 22:06:28+00:00,22:06:28,'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ,814231064847728000
2016-12-29 14:54:21+00:00,14:54:21,My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy,814484710025994000
2016-12-30 19:41:33+00:00,19:41:33,Great move on delay (by V. Putin) - I always knew he was very smart!,814919370711461000
2016-12-30 19:46:55+00:00,19:46:55,"Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV",814920722208296000
2016-12-30 22:18:18+00:00,22:18:18,"Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!",814958820980039000
2016-12-31 13:17:21+00:00,13:17:21,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!",815185071317676000
2016-12-31 18:58:12+00:00,18:58:12,"Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz",815270850916208000
2016-12-31 18:59:04+00:00,18:59:04,"RT @realDonaldTrump: Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz",815271067749060000
2017-01-01 05:00:10+00:00,05:00:10,"TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy",815422340540547000
2017-01-01 05:43:23+00:00,05:43:23,RT @Reince: Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America…,815433217595547000
2017-01-01 06:49:33+00:00,06:49:33,"RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq",815449868739211000
2017-01-01 06:49:49+00:00,06:49:49,"RT @IvankaTrump: 2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Happy New…",815449933453127000
2017-01-02 14:40:10+00:00,14:40:10,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",815930688889352000
2017-01-02 17:31:17+00:00,17:31:17,"Chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!",815973752785793000
2017-01-02 18:32:29+00:00,18:32:29,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race &amp; victory. Hope it does well but used worst cover photo of me!",815989154555297000
2017-01-02 18:37:10+00:00,18:37:10,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",815990335318982000
2017-01-02 18:44:04+00:00,18:44:04,"I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",815992069412057000
2017-01-02 23:05:44+00:00,23:05:44,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,816057920223846000
2017-01-02 23:47:12+00:00,23:47:12,"China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",816068355555815000
2017-01-03 12:30:05+00:00,12:30:05,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,816260343391514000
2017-01-03 12:46:33+00:00,12:46:33,"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",816264484629184000
2017-01-03 12:51:15+00:00,12:51:15,"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And, it is lousy healthcare.",816265668958031000
2017-01-03 15:03:29+00:00,15:03:29,"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it",816298944456232000
2017-01-03 15:07:41+00:00,15:07:41,"........may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",816300003442495000
2017-01-03 16:44:13+00:00,16:44:13,"""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""
https://t.co/137nUo03Gl",816324295781740000
2017-01-03 17:00:11+00:00,17:00:11,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for INNOVATION &amp; JOB CREATION.
https://t.co/siXrptsOrt",816328314759606000
2017-01-03 17:20:43+00:00,17:20:43,There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.,816333480409833000
2017-01-03 18:44:47+00:00,18:44:47,"""Trump is already delivering the jobs he promised America"" https://t.co/11spTMa6Tm",816354639859871000
2017-01-03 23:58:31+00:00,23:58:31,I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.,816433590892429000
2017-01-04 01:14:52+00:00,01:14:52,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday, perhaps more time needed to build a case. Very strange!",816452807024840000
2017-01-04 12:22:38+00:00,12:22:38,"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",816620855958601000
2017-01-04 13:10:05+00:00,13:10:05,"""@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9"" More dishonest than anyone knows",816632793862176000
2017-01-04 13:19:09+00:00,13:19:09,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,816635078067490000
2017-01-04 13:27:03+00:00,13:27:03,"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible......",816637064708030000
2017-01-04 13:31:32+00:00,13:31:32,"things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",816638194468999000
2017-01-04 13:55:53+00:00,13:55:53,"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases......",816644321768312000
2017-01-04 14:01:53+00:00,14:01:53,"like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...",816645831659061000
2017-01-04 14:26:45+00:00,14:26:45,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,816652088662958000
2017-01-04 18:52:09+00:00,18:52:09,"Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the ""Movement""",816718880731234000
2017-01-05 11:57:57+00:00,11:57:57,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",816977032433270000
2017-01-05 12:01:33+00:00,12:01:33,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is....",816977937731878000
2017-01-05 12:06:42+00:00,12:06:42,...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!,816979231217483000
2017-01-05 13:25:30+00:00,13:25:30,"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",816999062562107000
2017-01-05 13:45:57+00:00,13:45:57,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",817004210529116000
2017-01-05 18:14:30+00:00,18:14:30,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",817071792711942000
2017-01-06 00:24:34+00:00,00:24:34,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",817164923843280000
2017-01-06 00:30:15+00:00,00:30:15,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,817166353266262000
2017-01-06 00:40:03+00:00,00:40:03,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,817168818539757000
2017-01-06 11:19:49+00:00,11:19:49,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",817329823374831000
2017-01-06 11:39:35+00:00,11:39:35,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,817334794958807000
2017-01-06 11:45:47+00:00,11:45:47,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,817336355193753000
2017-01-06 12:05:01+00:00,12:05:01,"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",817341196251070000
2017-01-06 12:34:37+00:00,12:34:37,"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....",817348644647108000
2017-01-06 12:42:53+00:00,12:42:53,"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich &amp; Hillary",817350726800306000
2017-01-06 14:18:51+00:00,14:18:51,"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse, a friend. Will go this AM.",817374875962769000
2017-01-06 16:51:37+00:00,16:51:37,I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,817413321058029000
2017-01-06 19:30:09+00:00,19:30:09,Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,817453219613917000
2017-01-07 00:07:09+00:00,00:07:09,"Happy Birthday @EricTrump!
https://t.co/bJaEY7qFSn",817522928862502000
2017-01-07 03:53:38+00:00,03:53:38,Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,817579925771341000
2017-01-07 11:56:29+00:00,11:56:29,Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,817701436096126000
2017-01-07 12:03:31+00:00,12:03:31,Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,817703208567078000
2017-01-07 15:02:20+00:00,15:02:20,"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We.....",817748207694467000
2017-01-07 15:10:46+00:00,15:10:46,"have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and....",817750330196819000
2017-01-07 15:21:42+00:00,15:21:42,"both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",817753083707015000
2017-01-07 23:54:05+00:00,23:54:05,Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp; star,817882028272128000
