R1097,R3890
R2229,R4774
R4844,R3541
R9710,R4236
R3330,R4084
R4541,R9533
R8887,R8671
R1110,R7963
R2695,R2294
R6264,R5092
R9641,R7255
R1747,R5147
R5416,R5157
R4642,R6819
R3103,R1782
R3507,R7774
R8013,R6094
R1366,R2032
R4480,R2462
R9724,R8706
R3657,R9115
R2794,R7218
R1773,R4054
R2851,R2243
R1107,R6091
R1521,R7735
R5113,R3406
R7141,R1213
R3036,R2510
R7997,R5531
R8601,R1633
R3933,R2256
R8292,R4357
R5673,R3368
R1840,R5811
R6761,R8729
R9695,R1720
R2444,R7048
R8186,R5825
R3711,R5376
R7395,R6165
R3713,R4594
R1206,R7759
R2829,R3039
R7208,R2757
R6259,R9262
R9691,R9411
R5386,R4597
R2240,R9563
R6936,R3700
R4586,R7140
R1271,R2781
R6026,R8839
R1064,R5486
R1244,R8557
R1151,R3000
R3491,R5740
R5609,R3137
R9962,R5744
R5794,R8973
R3504,R6954
R5000,R5355
R3905,R3544
R5246,R3745
R5726,R4036
R9908,R8990
R4812,R7113
R6519,R1834
R7350,R4637
R7285,R4283
R5907,R8700
R9995,R7408
R8463,R1120
R8093,R1794
R1340,R4934
R7116,R5313
R1983,R9623
R2902,R6657
R9955,R5927
R9058,R4212
R6563,R7476
R7114,R2269
R5838,R9601
R4366,R2397
R5492,R5040
R1880,R9546
R2504,R9027
R7713,R2785
R6185,R1852
R2440,R6455
R3299,R4244
R3840,R1992
R9358,R8487
R9123,R9622
R7246,R3162
R7288,R8106
R4591,R8925
R9140,R8135
R4570,R9325
R8142,R6340
R4615,R8486
R6082,R1643
R7739,R7606
R8340,R4734
R8224,R9206
R9309,R1432
R8085,R2821
R6802,R6962
R5546,R4965
R4973,R2201
R2787,R1065
R8396,R7928
R9031,R9617
R1793,R4297
R2297,R3982
R6594,R1663
R4496,R8004
R6196,R5194
R5919,R7001
R1775,R2443
R8535,R6676
R4000,R8226
R4106,R2215
R6097,R8050
R9029,R1196
R9847,R7709
R5340,R5450
R3339,R7178
R9438,R4695
R9186,R4631
R6855,R3109
R1816,R4511
R8092,R5304
R7087,R3179
R2046,R5354
R8094,R7582
R1543,R7733
R9053,R3081
R9697,R8762
R8519,R1024
R2868,R6562
R3035,R3092
R7380,R3564
R6450,R5641
R7548,R6870
R1982,R6199
R9194,R9071
R5623,R6663
R7497,R3093
R6513,R7664
R3218,R8576
R2375,R6245
R1537,R5167
R9936,R4117
R3764,R7040
R5197,R7586
R6547,R1807
R2428,R8198
R4024,R3959
R9422,R5336
R8430,R6001
R7064,R3176
R3724,R4265
R3334,R5487
R1505,R3252
R1469,R2654
R2434,R9407
R9769,R7455
R2761,R3405
R3921,R5026
R8975,R2981
R1453,R3855
R5881,R4252
R4764,R6577
R1471,R6979
R7219,R3495
R6785,R1482
R1907,R1252
R4888,R7190
R2099,R4430
R7138,R8674
R4214,R7855
R4086,R7802
R2989,R7096
R9705,R1744
R2167,R7578
R3146,R1998
R1266,R3026
R2484,R6820
R8141,R1039
R9750,R6743
R3009,R3972
R4805,R1671
R3342,R1166
R2531,R3132
R6423,R7484
R3281,R9560
R3206,R8161
R6680,R8852
R2022,R7973
R8555,R2289
R7788,R6668
R2339,R4672
R2244,R9096
R4703,R9821
R5221,R5293
R6061,R6882
R1103,R3224
R5411,R8139
R3227,R1402
R7475,R9210
R7097,R1351
R6780,R1844
R4011,R4546
R5708,R9070
R9261,R2187
R8213,R5983
R6592,R6220
R9658,R6905
R6892,R4983
R9401,R5807
R8381,R5960
R6986,R5300
R5551,R3837
R9627,R9607
R5339,R1088
R1394,R5443
R9638,R8949
R6489,R3608
R6321,R2037
R7015,R9126
R3133,R1838
R7405,R8869
R1564,R5685
R7584,R2161
R5294,R9010
R5635,R6303
R7760,R2286
R9510,R2188
R5637,R5198
R8401,R6782
R6069,R5600
R7352,R5827
R9234,R9442
R2691,R3734
R4315,R2039
R9583,R4907
R1115,R2556
R6115,R2530
R9586,R7316
R5299,R9324
R2550,R9315
R8424,R6640
R7915,R2728
R8132,R6459
R3539,R1674
R8000,R8261
R8672,R6346
R3393,R2272
R7023,R7093
R4490,R8889
R4683,R9602
R3750,R6020
R9717,R4108
R4375,R8202
R8321,R1456
R9811,R3960
R6881,R3129
R7685,R1365
R4428,R7764
R2315,R3722
R8101,R5272
R1333,R4199
R6848,R4389
R6033,R1668
R9220,R8810
R9033,R8907
R5357,R3196
R7434,R9005
R2467,R5003
R8035,R7711
R7279,R2093
R1888,R4654
R2630,R7045
R3743,R3502
R6822,R3968
R8155,R1826
R4477,R3925
R9465,R1211
R4162,R7340
R6217,R1764
R2357,R3462
R8677,R2938
R9371,R2891
R2130,R9886
R1219,R6718
R9642,R1843
R3295,R3409
R7916,R1238
R2190,R2420
R3259,R6391
R7233,R2169
R5128,R2002
R4859,R4091
