,date,day_of_week,brand,cnt
876,198,5,3,171
879,199,6,3,27
882,200,1,3,257
887,201,2,3,187
892,202,3,3,424
897,203,4,3,274
902,204,5,3,257
907,205,6,3,107
912,206,1,3,428
917,207,2,3,374
922,208,3,3,100
927,209,4,3,235
932,210,5,3,257
941,213,1,3,342
946,214,2,3,160
951,215,3,3,299
956,216,4,3,314
961,217,5,3,214
969,220,1,3,385
974,221,2,3,294
979,222,3,3,374
984,223,4,3,176
989,224,5,3,406
998,226,1,3,364
1003,227,2,3,267
1008,228,3,3,299
1013,229,4,3,294
1018,230,5,3,321
1022,231,6,3,53
1026,232,1,3,385
1031,233,2,3,321
1036,234,3,3,299
1041,235,4,3,20
1045,237,7,3,625
1050,238,1,3,449
1055,239,2,3,294
1060,240,3,3,424
1065,241,4,3,274
1070,242,5,3,342
1075,243,6,3,80
1080,244,7,3,649
1085,245,1,3,364
1089,246,3,3,25
1096,250,2,3,561
1101,251,3,3,474
1106,252,4,3,235
1111,253,5,3,171
1116,254,6,3,241
1122,256,1,3,492
1127,257,2,3,535
1132,258,3,3,249
1137,259,4,3,157
1142,260,5,3,385
1147,261,6,3,53
1151,262,1,3,235
1156,263,2,3,321
1161,264,3,3,274
1166,265,4,3,255
1171,266,5,3,257
1176,267,6,3,27
1180,268,1,3,556
1185,269,2,3,294
1190,270,3,3,200
1195,271,4,3,137
1200,272,5,3,257
1205,273,6,3,27
1209,274,1,3,299
1214,275,2,3,294
1219,276,3,3,200
1224,277,4,3,216
1229,278,5,3,428
1234,279,6,3,27
1238,280,1,3,171
1243,281,2,3,214
1248,282,3,3,399
1253,283,4,3,196
1258,284,5,3,150
1263,285,6,3,27
1267,286,1,3,321
1272,287,2,3,294
1277,288,3,3,150
1282,289,4,3,216
1287,290,5,3,235
1292,291,6,3,27
1298,293,1,3,278
1303,294,2,3,454
1308,295,3,3,200
1313,296,4,3,176
1318,297,5,3,278
1323,298,6,3,160
1328,299,1,3,513
1333,300,2,3,321
1338,301,3,3,599
1343,302,4,3,216
1348,303,5,3,214
1353,304,6,3,80
1357,305,1,3,406
1362,306,2,3,294
1367,307,3,3,349
1372,308,4,3,314
1377,309,5,3,192
1386,311,1,3,235
1391,312,2,3,267
1396,313,3,3,200
1401,314,4,3,137
1406,315,5,3,150
1411,316,6,3,53
1416,317,1,3,235
1421,318,2,3,134
1426,319,3,3,299
1431,320,4,3,137
1436,321,5,3,192
1441,322,6,3,80
1444,323,1,3,171
1449,324,2,3,27
1454,325,4,3,665
1459,326,5,3,829
1464,327,6,3,52
1469,328,1,3,1016
1474,329,2,3,648
1479,330,3,3,702
1484,331,4,3,285
1489,332,5,3,643
1494,333,6,3,78
1499,334,1,3,373
1504,335,2,3,415
1509,336,3,3,508
1514,337,4,3,513
1519,338,5,3,477
1524,339,6,3,78
1528,340,1,3,643
1533,341,2,3,752
1538,342,3,3,774
1543,343,4,3,399
1548,344,5,3,746
1557,346,7,3,157
1562,347,1,3,726
1567,348,2,3,700
1572,349,3,3,169
1577,350,4,3,57
1581,352,4,3,19
1584,353,5,3,435
1589,354,6,3,622
1595,356,1,3,498
1600,357,2,3,726
1605,358,3,3,314
1610,359,4,3,152
1615,360,5,3,228
1620,361,6,3,52
1626,363,1,3,311
1631,364,2,3,311
1636,365,3,3,266
1641,366,4,3,209
1646,367,5,3,290
1656,370,1,3,311
1661,371,2,3,441
1666,372,3,3,411
1671,373,4,3,266
1676,374,5,3,166
1681,375,6,3,52
1687,377,1,3,290
1692,378,2,3,181
1697,379,3,3,169
1702,380,4,3,152
1707,381,5,3,83
1712,382,6,3,52
1717,383,1,3,353
1722,384,2,3,156
1727,385,3,3,218
1732,386,4,3,190
1737,387,5,3,228
1746,389,1,3,270
1751,390,2,3,415
1756,391,3,3,290
1761,392,4,3,152
1766,393,5,3,270
1775,395,1,3,166
1780,396,2,3,337
1785,397,3,3,532
1790,398,4,3,304
1795,399,5,3,415
1800,400,6,3,26
1805,402,1,3,207
1810,403,2,3,259
1815,404,3,3,290
1820,405,4,3,171
1825,406,5,3,270
1834,410,2,3,389
1839,411,3,3,532
1844,412,4,3,342
1849,413,5,3,249
1854,414,6,3,26
1859,415,1,3,373
1864,416,2,3,415
1869,417,3,3,218
1874,418,4,3,342
1879,419,5,3,353
1884,420,6,3,78
1890,422,1,3,435
1895,423,2,3,337
1900,424,3,3,339
1905,425,4,3,209
1910,426,5,3,332
1915,427,6,3,78
1920,428,1,3,332
1925,429,2,3,337
1930,430,3,3,314
1935,432,6,3,26
1938,433,7,3,449
1943,434,1,3,311
1948,435,2,3,311
1953,436,3,3,363
1958,437,4,3,532
1963,438,5,3,353
1967,439,6,3,26
1971,440,1,3,249
1976,441,2,3,544
1981,442,3,3,218
1986,443,4,3,209
1991,444,5,3,249
1996,445,6,3,52
2002,447,1,3,311
2007,448,2,3,415
2012,449,3,3,242
2017,450,4,3,228
2022,451,5,3,270
2026,452,6,3,52
2030,453,1,3,270
2035,454,2,3,363
2040,455,3,3,363
2045,456,4,3,171
2050,457,5,3,560
2061,460,2,3,726
2066,461,3,3,194
2071,462,4,3,152
2076,463,5,3,332
2081,464,6,3,26
2086,466,1,3,394
2091,467,2,3,233
2096,468,3,3,145
2101,469,4,3,95
2106,470,5,3,124
2114,472,1,3,228
2119,473,2,3,363
2124,474,3,3,339
2129,475,4,3,133
2134,476,5,3,145
2139,477,6,3,52
2143,478,1,3,249
2148,479,2,3,389
2153,480,3,3,411
2158,481,4,3,266
2163,482,5,3,477
2168,483,6,3,104
2173,484,1,3,207
2178,485,2,3,415
2183,486,3,3,339
2188,487,4,3,304
2193,488,5,3,228
2201,490,1,3,332
2206,491,2,3,311
2211,492,3,3,411
2216,493,4,3,285
2221,494,5,3,270
2225,495,6,3,52
2230,496,1,3,332
2235,497,2,3,518
2240,498,3,3,266
2245,499,4,3,342
2250,500,5,3,249
2258,502,1,3,290
2263,503,2,3,389
2268,504,3,3,145
2273,505,4,3,342
2278,506,5,3,228
2282,507,6,3,26
2285,508,1,3,373
2290,509,2,3,363
2295,510,3,3,314
2300,511,4,3,190
2305,512,5,3,207
2309,513,6,3,104
2314,514,1,3,353
2319,515,2,3,622
2324,516,3,3,363
2329,517,4,3,228
2334,518,5,3,249
2339,519,6,3,52
2343,520,1,3,477
2348,521,2,3,156
2353,522,3,3,266
2358,523,4,3,247
2363,524,5,3,332
2368,525,6,3,104
2372,526,1,3,228
2377,527,2,3,311
2382,528,3,3,314
2387,529,4,3,209
2392,530,5,3,290
2397,531,6,3,26
2402,533,1,3,353
2407,534,2,3,311
2412,535,3,3,266
2417,536,4,3,266
2422,537,5,3,435
2427,538,6,3,26
2432,539,1,3,518
2437,540,2,3,492
2442,541,3,3,532
2447,542,4,3,361
2452,543,5,3,498
2457,544,6,3,52
2462,545,2,3,829
2467,546,3,3,677
2472,547,4,3,380
2477,548,5,3,435
2482,549,6,3,52
2487,550,1,3,498
2492,551,2,3,518
2497,552,3,3,169
2502,553,4,3,323
2507,554,5,3,498
2515,556,1,3,311
2520,557,2,3,544
2525,558,3,3,314
2530,559,4,3,399
2535,560,5,3,809
2540,561,6,3,52
2545,562,7,3,247
2550,563,1,3,456
2555,564,2,3,492
2560,565,3,3,24
2568,568,3,3,1016
2573,569,4,3,646
2578,570,5,3,684
2583,571,6,3,544
2590,573,1,3,601
2595,574,2,3,622
2600,575,3,3,339
2605,576,4,3,228
2610,577,5,3,228
2615,578,6,3,26
2620,579,1,3,435
2625,580,2,3,492
2630,581,3,3,581
2635,582,4,3,266
2640,583,5,3,353
2645,584,6,3,26
2650,585,1,3,498
2655,586,2,3,441
2660,587,3,3,484
2665,588,4,3,532
2670,589,5,3,353
2676,591,1,3,353
2681,592,2,3,441
2686,593,3,3,411
2691,594,4,3,247
2696,595,5,3,311
2701,596,6,3,26
2706,597,1,3,498
2711,598,2,3,311
2716,599,3,3,435
2721,600,4,3,304
2726,601,5,3,518
2731,602,6,3,78
2737,604,1,3,581
2742,605,2,3,389
2747,606,3,3,460
2752,607,4,3,266
2757,608,5,3,435
2762,609,6,3,104
2767,610,1,3,435
2772,611,2,3,492
2777,612,3,3,290
2782,613,4,3,342
2787,614,5,3,249
2792,615,6,3,26
2797,616,1,3,518
2802,617,2,3,389
2807,618,3,3,290
2812,619,4,3,361
2817,620,5,3,290
2822,621,6,3,52
2826,622,1,3,415
2831,623,2,3,285
2836,624,3,3,194
2841,625,4,3,342
2846,626,5,3,249
2851,627,6,3,52
2855,628,1,3,311
2860,629,2,3,492
2865,630,3,3,290
2870,631,4,3,285
2875,632,5,3,581
2880,633,6,3,104
2883,634,1,3,332
2888,635,2,3,596
2893,636,3,3,460
2898,637,4,3,171
2903,638,5,3,373
2912,641,1,3,560
2917,642,2,3,233
2922,643,3,3,97
2927,644,4,3,21
2930,645,7,3,1007
2935,646,1,3,1089
2940,647,2,3,1106
2945,648,3,3,714
2950,649,4,3,1185
2955,650,5,3,885
2960,651,6,3,28
2965,652,1,3,590
2970,653,2,3,369
2975,654,3,3,635
2980,655,4,3,582
2985,656,5,3,522
2990,657,6,3,142
2996,659,1,3,590
3001,660,2,3,567
3006,661,3,3,476
3011,662,4,3,686
3016,663,5,3,590
3021,664,6,3,142
3027,666,1,3,590
3032,667,2,3,822
3037,668,3,3,1085
3042,669,4,3,437
3047,670,5,3,454
3052,671,6,3,170
3057,672,1,3,635
3062,673,2,3,709
3067,674,3,3,556
3072,675,4,3,499
3077,676,5,3,363
3082,677,6,3,85
3087,678,1,3,975
3092,679,2,3,907
3097,680,3,3,926
3102,681,4,3,1351
3107,682,5,3,862
3112,683,6,3,57
3117,684,7,3,467
3122,685,1,3,726
3127,686,2,3,113
3133,688,3,3,820
3138,689,4,3,728
3143,690,5,3,839
3148,691,6,3,539
3153,692,1,3,1315
3158,693,2,3,1049
3163,694,3,3,423
3168,695,4,3,229
3173,696,5,3,386
3178,697,6,3,85
3182,698,1,3,408
3187,699,2,3,567
3192,700,3,3,132
3197,701,4,3,270
3202,702,5,3,408
3207,703,6,3,28
3211,704,1,3,227
3216,705,2,3,425
3221,706,3,3,265
3226,707,4,3,291
3231,708,5,3,204
3236,709,6,3,198
3241,710,1,3,635
3246,711,2,3,369
3251,712,3,3,238
3256,713,4,3,125
3261,714,5,3,181
3266,715,6,3,57
3271,716,1,3,318
3276,717,2,3,198
3281,718,3,3,318
3286,719,4,3,166
3291,720,5,3,340
3298,723,2,3,369
3303,724,3,3,529
3308,725,4,3,270
3313,726,5,3,272
3323,729,1,3,363
3328,730,2,3,425
3333,731,3,3,265
3338,732,4,3,187
3343,733,5,3,136
3348,734,6,3,57
3353,735,1,3,386
3358,736,2,3,340
3363,737,3,3,582
3368,738,4,3,187
3373,739,5,3,249
3378,740,6,3,85
3383,741,1,3,703
3388,742,2,3,482
3393,743,3,3,344
3398,744,4,3,270
3404,746,1,3,567
3409,747,2,3,340
3414,748,3,3,423
3419,749,4,3,437
3424,750,5,3,431
3429,751,6,3,85
3434,752,1,3,544
3439,753,2,3,312
3444,754,3,3,318
3449,755,4,3,395
3454,756,5,3,295
3459,757,6,3,113
3464,758,1,3,930
3469,759,2,3,312
3474,760,3,3,212
3479,761,4,3,395
3484,762,5,3,680
3489,763,6,3,57
3494,764,1,3,476
3499,765,2,3,539
3504,766,3,3,265
3509,767,4,3,249
3514,768,5,3,295
3522,770,1,3,431
3527,771,2,3,284
3532,772,3,3,397
3537,773,4,3,416
3542,774,5,3,363
3547,775,6,3,113
3552,776,1,3,544
3557,777,2,3,425
3562,778,3,3,318
3567,779,4,3,499
3572,780,5,3,249
3577,781,6,3,113
3582,782,1,3,748
3587,783,2,3,255
3592,784,3,3,370
3597,785,4,3,229
3602,786,5,3,318
3606,787,6,3,28
3610,788,2,3,850
3615,789,3,3,582
3620,790,4,3,291
3625,791,5,3,363
3630,792,6,3,28
3635,793,1,3,363
3640,794,2,3,340
3645,795,3,3,503
3650,796,4,3,249
3655,797,5,3,318
3660,798,6,3,28
3665,799,1,3,567
3670,800,2,3,595
3675,801,3,3,503
3680,802,4,3,249
3685,803,5,3,181
3690,804,6,3,28
3695,805,1,3,249
3700,806,2,3,652
3705,807,3,3,423
3710,808,4,3,437
3715,809,5,3,272
3719,810,6,3,113
3724,811,1,3,431
3729,812,2,3,539
3734,813,3,3,503
3739,814,4,3,249
3744,815,5,3,454
3748,816,6,3,57
3752,817,1,3,136
3757,818,2,3,397
3762,819,3,3,529
3767,820,4,3,312
3772,821,5,3,386
3777,822,6,3,170
3782,823,1,3,454
3787,824,2,3,510
3792,825,3,3,370
3797,826,4,3,395
3802,827,5,3,612
3807,828,6,3,85
3811,829,1,3,635
3816,830,2,3,397
3821,831,3,3,450
3826,832,4,3,665
3831,833,5,3,386
3836,834,6,3,113
3840,835,1,3,386
3845,836,2,3,397
3850,837,3,3,159
3855,838,4,3,374
3860,839,5,3,567
3865,840,6,3,28
3871,842,1,3,431
3876,843,2,3,425
3881,844,3,3,344
3886,845,4,3,229
3891,846,5,3,181
3896,847,6,3,227
3902,849,1,3,748
3907,850,2,3,425
3912,851,3,3,476
3918,853,7,3,983
3923,854,1,3,318
3928,855,2,3,482
3933,856,3,3,423
3938,857,4,3,249
3943,858,5,3,431
3948,859,6,3,57
3952,860,1,3,499
3957,861,2,3,397
3962,862,3,3,529
3967,863,4,3,187
3972,864,5,3,272
3977,865,6,3,28
3982,866,1,3,363
3987,867,2,3,482
3992,868,3,3,397
3997,869,4,3,333
4002,870,5,3,318
4009,872,1,3,680
4014,873,2,3,539
4019,874,3,3,609
4028,878,4,3,686
4033,879,5,3,658
4038,880,6,3,567
4043,881,1,3,386
4048,882,2,3,312
4053,883,3,3,476
4058,884,4,3,478
4063,885,5,3,431
4068,886,6,3,85
4074,888,1,3,431
4079,889,2,3,765
4084,890,3,3,450
4089,891,4,3,333
4094,892,5,3,272
4099,893,6,3,28
4102,894,1,3,318
4107,895,2,3,482
4112,896,3,3,370
4117,897,4,3,229
4122,898,5,3,249
4126,899,6,3,57
4131,900,1,3,499
4136,901,2,3,482
4141,902,3,3,370
4146,903,4,3,437
4151,904,5,3,340
4156,905,6,3,57
4162,907,1,3,794
4167,908,2,3,397
4172,909,3,3,265
4177,910,4,3,270
4182,911,5,3,249
4187,912,6,3,85
4192,913,1,3,340
4197,914,2,3,227
4202,915,3,3,185
4207,916,4,3,353
4212,917,5,3,386
4217,918,6,3,85
4222,919,1,3,318
4227,920,2,3,340
4232,921,3,3,450
4237,922,4,3,353
4242,923,5,3,318
4247,924,6,3,113
4252,925,1,3,816
4257,926,2,3,340
4262,927,3,3,291
4267,928,4,3,229
4272,929,5,3,295
4277,930,6,3,28
4282,931,1,3,272
4287,932,2,3,255
4292,933,3,3,503
4297,934,4,3,187
4302,935,5,3,499
4307,936,6,3,57
4312,937,1,3,295
4317,938,2,3,539
4322,939,3,3,291
4327,940,4,3,249
4332,941,5,3,386
4337,942,6,3,113
4342,943,1,3,318
4347,944,2,3,482
4352,945,3,3,662
4357,946,4,3,353
4362,947,5,3,363
4367,948,6,3,57
4373,950,1,3,272
4378,951,2,3,170
4383,952,3,3,318
4388,953,4,3,83
4393,954,5,3,23
4397,956,1,3,1190
4402,957,2,3,1662
4407,958,3,3,1198
4412,959,4,3,642
4417,960,5,3,1283
4422,961,6,3,292
4427,962,1,3,1283
4432,963,2,3,612
4437,964,3,3,844
4442,965,4,3,406
4447,966,5,3,910
4452,967,6,3,87
4457,968,1,3,793
4462,969,2,3,1050
4467,970,3,3,980
4472,971,4,3,556
4477,972,5,3,583
4482,973,6,3,29
4486,974,1,3,677
4491,975,2,3,700
4496,976,3,3,544
4501,977,4,3,278
4506,978,5,3,793
4511,979,6,3,117
4516,980,1,3,1353
4521,981,2,3,1225
4526,982,3,3,1170
4531,983,4,3,984
4536,984,5,3,933
4541,985,6,3,175
4547,987,7,3,480
4552,988,1,3,700
4557,989,2,3,1196
4562,990,3,3,572
4567,991,4,3,535
4572,992,5,3,397
4577,993,6,3,87
4582,994,1,3,560
4587,995,2,3,467
4592,996,3,3,218
4597,997,4,3,171
4602,998,5,3,373
4607,999,6,3,58
4612,1000,1,3,327
4617,1001,2,3,612
4622,1002,3,3,708
4627,1003,4,3,385
4632,1004,5,3,443
4637,1005,6,3,58
4641,1006,1,3,303
4646,1007,2,3,525
4651,1008,3,3,381
4656,1009,4,3,364
4661,1010,5,3,303
4666,1011,6,3,233
4671,1012,1,3,280
4676,1013,2,3,117
4681,1014,3,3,191
4686,1015,4,3,235
4691,1016,5,3,327
4696,1017,6,3,58
4701,1018,1,3,607
4706,1019,2,3,321
4711,1020,3,3,218
4716,1021,4,3,214
4721,1022,5,3,350
4726,1023,6,3,117
4731,1024,1,3,700
4736,1025,2,3,379
4741,1026,3,3,218
4746,1027,4,3,513
4751,1028,5,3,420
4756,1029,6,3,58
4761,1030,2,3,467
4766,1031,3,3,490
4771,1032,4,3,235
