R20193,R79783
R20248,R22547
R94545,R83071
R42105,R43040
R23345,R87052
R46171,R59450
R72055,R26307
R98407,R57844
R90565,R46122
R77694,R52291
R42624,R80224
R95574,R50783
R41282,R46150
R26016,R16392
R40469,R71178
R58976,R33140
R71346,R63058
R54826,R89503
R80494,R13526
R53122,R41985
R49309,R29769
R12329,R73416
R13882,R76866
R18655,R35097
R33969,R26092
R51532,R86887
R50134,R32261
R13079,R17736
R39182,R83736
R70756,R12619
R61224,R99822
R70428,R26432
R32092,R93030
R88204,R40764
R32632,R95089
R98449,R90122
R96689,R19741
R28435,R30560
R31457,R96784
R30225,R95876
R43721,R85551
R11051,R11038
R88078,R29341
R57901,R94680
R94232,R61821
R74546,R69718
R42596,R74221
R41396,R79301
R25823,R49003
R87838,R12485
R62027,R30733
R61450,R11596
R26135,R51917
R86770,R40286
R77360,R79123
R82305,R88063
R11309,R95374
R40026,R47433
R41605,R25820
R89192,R37033
R30011,R70569
R13741,R27159
R44892,R19312
R37096,R12127
R80744,R25985
R53055,R91409
R20858,R53402
R22565,R14904
R14664,R57228
R34354,R49297
R34855,R69688
R50769,R98225
R74859,R95449
R65739,R88540
R85181,R54636
R77616,R42924
R78575,R66879
R44142,R65371
R11496,R94400
R50925,R23988
R10011,R16315
R80551,R49283
R14891,R94136
R80547,R61797
R98191,R86596
R64677,R96222
R13277,R89193
R37760,R48411
R95768,R13776
R24882,R16541
R36778,R17466
R76805,R84171
R88097,R27751
R83285,R99704
R17998,R43290
R13822,R53443
R46908,R88436
R11668,R24223
R60974,R43902
R86915,R73515
R38160,R42219
R47642,R58371
R69930,R22204
R56806,R31013
R81934,R55837
R56625,R21039
R53302,R22273
R70517,R35368
R75896,R76627
R18401,R60425
R54415,R93029
R14613,R19011
R51417,R17180
R22888,R96797
R41069,R34237
R71854,R42422
R25537,R73365
R53658,R62541
R64025,R40604
R35421,R98897
R52552,R60318
R53181,R35619
R45128,R66386
R42292,R86700
R10366,R39001
R33630,R35937
R32240,R23968
R82287,R53555
R43018,R80198
R15962,R35796
R99244,R71984
R21031,R98423
R60525,R90428
R59142,R97949
R20291,R27826
R22051,R72821
R40429,R25681
R67716,R13128
R64627,R58232
R64467,R73119
R36014,R83569
R94690,R12144
R73436,R77020
R26267,R53901
R94898,R66039
R96340,R11188
R29511,R65062
R92037,R92846
R93040,R73988
R91478,R65920
R20143,R80207
R44737,R20289
R42932,R43005
R27220,R30986
R39085,R57277
R60842,R78965
R67980,R39818
R75294,R41674
R99082,R33436
R50511,R35755
R19836,R26749
R53647,R73481
R71125,R30002
R85651,R83693
R43016,R14753
R84463,R23403
R49163,R93338
R34239,R46617
R25314,R57554
R63295,R98066
R60516,R21180
R76311,R94550
R91406,R28174
R11813,R22677
R75568,R48549
R36186,R72222
R15515,R80886
R36868,R80705
R99141,R86689
R88419,R26823
R69540,R60694
R28264,R52389
R90033,R92770
R78181,R33377
R18180,R62468
R45750,R43353
R23187,R53358
R50405,R60082
R60596,R41695
R72817,R66354
R89715,R98884
R36849,R72997
R75966,R18768
R81521,R50359
R24504,R67966
R93671,R21118
R98891,R11804
R95415,R74146
R52747,R20526
R92970,R39940
R52616,R25959
R57106,R11432
R56313,R61475
R30778,R45199
R21073,R43587
R87879,R39975
R88542,R22228
R52184,R31317
R97008,R80963
R84099,R74500
R74461,R22453
R10837,R98417
R55576,R29584
R92515,R55592
R68491,R15803
R90170,R17885
R68604,R64817
R43352,R79676
R71203,R58501
R67379,R23793
R90653,R82844
R52493,R62789
R15983,R91662
R68193,R74270
R87589,R99246
R80481,R91054
R58549,R30478
R62426,R72575
R99671,R43896
R46465,R56009
R52196,R65251
R73814,R24261
R90328,R96408
R85872,R41779
R25630,R82825
R63029,R90936
R58662,R84136
R17654,R96444
R61725,R12647
R68423,R40714
R40517,R51912
R75431,R57213
R25553,R26981
R76475,R45905
R73240,R96380
R50938,R33008
R37825,R83118
R25155,R45358
R87089,R31838
R36425,R42984
R64605,R11952
R27251,R11909
R10992,R23703
R33166,R53062
R67798,R15763
R97679,R86029
R11776,R82450
R45283,R37782
R35361,R23081
R65436,R43128
R57433,R11178
R19886,R70884
R50874,R29038
R88206,R82931
R85382,R90126
R60201,R57006
R80919,R55151
R17598,R24120
R94841,R76542
R41468,R15165
R68981,R39221
R96425,R20529
R84137,R79359
R60113,R39885
R65323,R52795
R61889,R12218
R71839,R15141
R75829,R49050
R96071,R91036
R21035,R59895
R26269,R63149
R61592,R93859
R54595,R60167
R84194,R24248
R97988,R99650
R63092,R36156
R74414,R30430
R52098,R91332
R43160,R19251
R49458,R32809
R92211,R62308
R15292,R11367
R93792,R22071
R70287,R42137
R90196,R12536
R21014,R67138
R60004,R83954
R71585,R83146
R62260,R85272
R91727,R39172
R97151,R45380
R98035,R83774
R27772,R61669
R35317,R12068
R33141,R24093
R40389,R40696
R23209,R68463
R67451,R58586
R82862,R31406
R78931,R20932
R58947,R59800
R91386,R73051
R22564,R69940
R88825,R24427
R42796,R31646
R37463,R65195
R41766,R41460
R84301,R10672
R56095,R60911
R87049,R50623
R16871,R33812
R89373,R46923
R11989,R98579
R31903,R43641
R56100,R71968
R26206,R48023
R16140,R86783
R16112,R64853
R85715,R41298
R11550,R17221
R15007,R49193
R42570,R48567
R96571,R55164
R70858,R97654
R82165,R17855
R66190,R78433
R78152,R76767
R11399,R97058
R26078,R93333
R53792,R98822
R74489,R45164
R37155,R49704
R27332,R98802
R34184,R21886
R35315,R82344
R29398,R14393
R82290,R35795
R11184,R81362
R42463,R68538
R29795,R40098
R17643,R83839
R84331,R35390
R29898,R93400
R59597,R37870
R58454,R19569
R70698,R36436
R80437,R34389
R76010,R52384
R24910,R15931
R42662,R35080
R39521,R88366
R91451,R16078
R36037,R48134
R78672,R59215
R44651,R49599
R22208,R16654
R52072,R91846
R24975,R41890
R51499,R37317
R69134,R27155
R15681,R21834
R94014,R12163
R17371,R26319
R75559,R29900
R80810,R13310
R25941,R42380
R35968,R46151
R43178,R48097
R36227,R51344
R60886,R24132
R29937,R63709
R49107,R10162
R18368,R32810
R17395,R15765
R87315,R11761
R26712,R60119
R90847,R15966
R40441,R79872
R69138,R74374
R29322,R49329
R77576,R24922
R14579,R61753
R98209,R16097
R25506,R38058
R31685,R11089
R19501,R53729
R63708,R57120
R69895,R81568
R83401,R41029
R43401,R65910
R68156,R95938
R96171,R51067
R84637,R75486
R52999,R26387
R88343,R97704
R51634,R22201
R89858,R10479
R53485,R49558
R94223,R45444
R79548,R27110
R20117,R79136
R85973,R47953
R58536,R30633
R79576,R43890
R94584,R63556
R77233,R99911
R44530,R74067
R35747,R20749
R12450,R22969
R81490,R30864
R14158,R50432
R98988,R22698
R33939,R18793
R28207,R73647
R32181,R54774
R94819,R35745
R56788,R33263
R38420,R90245
R14385,R10866
R82546,R31105
R83080,R12859
R61442,R85710
R46426,R28610
R86952,R92852
R59074,R85859
R32613,R81412
R71190,R68478
R16489,R95061
R25382,R86338
R24503,R13863
R46529,R21267
R83768,R40163
R13052,R74108
R77135,R26598
R50181,R29094
R92558,R96303
R64158,R66911
R75536,R69853
R21301,R10030
R29861,R54948
R35143,R99724
R79717,R34645
R38357,R49545
R42933,R43165
R28309,R74064
R41097,R82209
R81598,R65237
R64066,R13770
R57848,R90569
R12464,R60676
R51182,R88530
R93070,R64473
R62178,R20398
R12084,R24962
R87255,R59642
R30158,R90547
R61905,R12346
R46294,R74767
R81761,R50288
R59154,R36679
R61083,R88792
R15580,R19399
R72571,R44106
R93120,R37213
R12741,R20251
R34868,R49342
R73343,R50798
R47077,R28295
R29608,R29837
R13234,R46754
R53551,R59809
R87351,R52063
R32253,R96828
R21416,R51247
R27775,R54708
R73358,R18168
R50145,R52145
R83295,R27234
R90885,R15996
R65694,R95521
R51660,R39326
R78324,R99055
R22827,R52402
R76633,R73747
R33596,R57729
R98156,R97394
R44575,R95291
R14060,R23615
R45326,R49877
R89629,R94942
R65143,R62700
R14987,R14091
R47370,R89589
R24918,R59391
R61209,R33153
R87502,R42730
R97897,R84797
R52640,R12281
R70553,R43792
R57464,R78059
R71737,R10252
R32386,R49811
R47652,R57736
R75488,R21469
R17319,R64376
R50409,R79321
R78172,R80042
R89873,R74353
R27428,R27176
R43144,R62787
R52303,R58456
R71385,R64055
R21875,R69987
R96932,R27133
R64132,R63676
R46663,R58975
R26552,R48657
R14705,R69843
R33794,R85704
R44568,R10281
R85711,R98993
R63972,R79700
R69477,R22807
R37340,R28983
R75058,R32225
R33220,R37874
R89130,R43232
R89808,R65773
R75441,R38752
R38876,R19050
R93082,R16902
R64897,R57845
R67075,R75417
R81460,R91306
R72360,R34028
R11722,R59063
R13087,R94013
R91040,R16173
R17113,R97357
R79150,R97159
R51694,R67051
R77763,R82279
R62917,R86175
R18724,R12386
R38145,R60026
R38790,R33479
R40420,R82688
R59585,R10698
R80234,R65537
R68497,R14290
R64798,R88646
R82274,R73316
R72038,R87735
R64940,R21011
R21265,R18722
R12796,R21857
R50920,R64098
R32949,R86102
R41556,R61893
R56619,R57413
R34875,R34483
R11633,R17715
R62661,R27224
R53937,R98569
R30974,R46081
R15253,R49174
R78253,R30391
R92884,R67384
R79611,R20718
R48208,R31607
R98604,R75915
R40968,R45456
R77584,R86747
R56499,R17651
R81447,R42507
R57324,R34983
R62237,R85230
R31530,R57553
R55495,R79994
R93925,R55248
R58575,R35432
R70119,R15025
R47450,R92371
R44280,R65525
R79617,R89761
R66332,R56858
R83001,R81066
R23751,R84450
R26519,R86092
R67588,R83863
R22591,R46117
R45045,R88362
R67100,R42085
R23175,R71535
R18708,R35398
R69304,R91243
R51574,R79670
R51302,R53676
R87608,R14819
R77554,R19017
R53258,R87394
R87215,R47227
R27119,R81826
R20799,R47647
R32688,R29371
R95817,R20847
R52588,R91217
R69256,R30338
R83519,R22742
R55634,R54275
R94363,R68346
R65386,R13851
R31412,R68317
R70068,R89157
R75414,R18891
R30924,R23525
R30764,R59811
R49103,R62959
R57572,R69494
R56649,R73722
R50474,R80114
R22844,R15076
R42296,R75091
R32814,R19875
R95584,R40703
R85330,R12046
R21312,R49769
R80439,R36554
R31029,R35373
R40245,R21249
R14626,R71982
R10944,R99079
R81090,R80291
R93987,R89821
R99060,R16239
R17927,R69361
R96906,R86987
R46404,R88128
R99542,R38134
R73153,R97392
R86638,R37040
R26762,R81322
R94230,R96929
R51466,R63759
R77513,R96160
R51268,R64378
R91474,R11901
R44735,R95932
R40376,R13608
R43489,R54423
R16734,R69487
R53845,R98883
R40579,R54376
R88707,R26882
R75782,R50050
R53766,R77709
R75913,R82393
R86896,R69095
R99302,R32243
R44320,R12405
R48112,R97619
R10286,R13946
R72358,R13289
R81688,R33127
R77256,R53084
R26622,R81017
R49882,R27631
R58817,R70240
R30359,R56019
R82802,R13556
R43580,R56765
R77146,R80598
R52194,R40755
R59792,R53384
R57454,R29881
R89300,R89783
R61579,R58002
R19959,R18262
R48587,R70343
R57743,R47184
R91832,R58239
R30887,R66927
R43122,R71109
R59145,R17339
R17134,R28889
R64205,R42146
R36732,R29336
R90404,R10093
R45388,R88282
R44055,R75014
R46642,R33161
R48253,R38639
R19058,R92308
R53063,R97985
R98746,R62163
R66965,R70337
R94994,R70608
R42362,R41044
R93057,R61520
R50591,R22050
R44217,R35135
R32783,R38560
R33861,R85964
R91427,R40258
R91218,R17178
R40515,R29101
R29219,R19586
R95754,R97274
R90087,R81365
R50989,R19220
R97034,R65647
R99441,R68971
R11191,R48926
R63865,R74046
R87499,R22628
R81188,R96969
R74354,R69819
R52467,R18017
R89343,R20210
R76425,R27025
R29074,R18226
R67643,R16342
R45125,R83393
R37068,R62876
R69668,R46999
R69515,R72574
R48489,R54192
R81169,R54233
R38710,R67890
R12995,R56038
R34110,R93832
R92990,R33621
R15070,R27238
R43844,R77437
R41516,R20224
R97867,R97730
R50744,R97612
R41629,R22835
R57787,R18128
R78556,R81780
R30751,R34087
R29456,R42620
R76343,R98812
R75362,R63161
R37656,R80025
R79528,R96381
R69363,R70373
R20683,R41246
R97605,R80986
R23349,R51921
R99301,R63397
R86018,R35369
R83599,R63707
R50534,R49651
R61470,R44336
R69642,R67873
R58500,R28184
R32195,R54120
R59301,R31600
R94872,R73671
R43529,R59723
R48825,R96083
R15238,R77955
R37694,R83694
R39971,R44229
R35521,R35557
R93808,R29204
R86823,R75902
R39169,R10763
R58498,R33970
R32438,R72681
R37084,R29749
R45728,R96363
R98892,R61139
R86912,R37285
R57374,R69779
R94769,R44001
R46628,R38896
R97025,R95628
R77592,R83685
R24738,R83600
R24128,R38033
R60500,R73472
R93809,R18826
R70720,R72629
R45071,R39998
R19298,R42090
R22448,R84392
R20188,R38173
R89563,R12113
R53600,R32306
R22054,R38388
R58824,R78420
R24798,R26558
R48295,R50148
R22230,R61032
R50237,R44528
R49372,R90575
R11262,R29983
R42800,R29984
R81420,R78577
R33151,R66558
R67815,R26002
R14932,R35799
R78348,R33390
R86263,R18301
R37250,R56901
R67311,R28728
R79396,R48127
R22441,R44726
R39111,R88689
R59224,R78205
R25291,R76388
R67025,R30834
R24644,R40670
R29862,R38525
R36549,R26201
R40565,R51260
R57270,R89110
R44140,R78529
R67231,R43830
R29166,R99727
R40649,R41028
R30940,R55750
R99599,R60765
R79279,R68086
R70461,R24405
R44329,R10675
R67595,R68781
R66580,R52824
R70892,R97437
R66464,R55515
R40869,R43549
R31698,R31003
R51077,R23159
R53376,R38567
R47439,R52060
R42247,R77710
R73689,R80016
R71534,R77688
R67428,R16856
R41771,R52359
R45198,R46006
R37595,R75231
R72404,R84908
R17814,R28547
R69506,R69484
R79691,R21707
R86824,R47718
R49408,R90304
R97738,R23948
R28231,R16290
R10130,R85184
R13810,R65744
R76778,R78844
R82835,R67362
R53366,R19727
R49474,R21670
R76874,R92997
R60327,R54372
R28971,R39819
R14700,R99872
R40371,R11770
R71102,R96146
R20918,R24914
R85051,R36165
R86138,R41610
R27107,R94682
R66227,R17209
R71484,R85601
R33974,R99338
R48517,R90619
R12251,R18294
R59566,R90011
R61310,R16933
R14457,R50367
R88972,R64682
R27061,R96075
R68883,R95500
R91466,R11790
R21199,R64342
R14912,R69163
R83405,R38552
R62104,R23409
R75154,R18489
R11644,R32428
R93928,R75232
R86349,R33122
R91495,R87598
R88808,R84677
R90794,R13186
R11938,R53217
R15218,R11207
R50545,R88443
R30031,R13666
R97380,R80672
R72754,R11261
R26548,R77785
R75680,R44419
R26886,R96087
R12126,R35707
R48585,R89913
R93986,R62154
R62571,R21457
R94431,R36200
R47696,R41815
R66751,R28373
R76800,R38924
R33201,R99734
R67120,R72001
R69549,R90191
R68496,R74677
R87564,R91253
R82383,R32969
R79921,R53130
R36369,R46713
R90872,R61384
R48611,R98437
R88799,R29693
R41075,R81573
R13099,R86456
R39714,R99977
R51851,R25211
R71808,R75369
R50762,R72169
R99633,R64751
R36584,R54243
R76285,R43975
R46364,R69413
R21769,R41971
R33078,R49707
R10555,R89066
R78051,R57182
R73431,R42126
R97335,R21597
R21296,R45323
R94047,R76597
R55710,R86088
R88951,R37964
R17355,R61289
R90604,R92356
R73870,R80513
R72675,R73064
R29464,R88485
R18551,R49341
R43312,R61519
R96057,R88032
R77147,R71372
R56147,R12720
R20853,R46947
R79101,R33461
R16563,R15815
R86672,R34330
R49697,R62945
R60043,R87501
R45761,R27633
R89085,R74773
R71906,R62058
R72131,R10274
R39884,R85029
R61011,R58840
R45109,R73568
R34856,R37946
R80352,R52522
R12950,R27509
R93959,R30811
R70665,R10582
R76717,R65021
R45722,R67248
R34395,R37566
R55754,R64580
R41417,R61928
R45588,R38000
R78854,R23308
R43445,R76590
R72854,R12194
R36392,R57130
R60013,R80285
R43354,R20673
R81524,R46864
R73334,R65242
R70877,R71791
R15875,R32644
R83464,R28519
R46569,R95069
R75388,R90849
R93814,R12313
R16679,R80089
R77761,R12421
R70880,R75108
R71591,R66131
R75627,R91330
R52217,R55970
R71079,R13908
R94756,R83955
R36177,R56667
R66482,R16907
R10808,R31507
R22381,R36277
R76118,R42051
R95610,R30150
R82542,R85505
R25040,R47438
R30507,R86946
R94487,R67721
R76576,R28677
R96949,R87191
R41240,R86394
R83122,R24412
R19135,R28299
R14709,R76718
R13584,R91472
R33786,R26438
R66009,R27744
R46466,R31298
R46863,R62484
R64159,R31782
R90487,R73401
R15898,R57621
R69156,R28463
R52831,R38188
R58585,R93946
R23733,R17331
R47308,R65741
R83162,R49413
R10120,R93906
R48289,R14209
R57783,R87035
R49287,R97251
R44998,R75280
R39109,R91287
R94570,R84124
R64199,R30691
R78000,R47210
R29215,R69599
R15473,R90285
R68215,R69923
R26667,R56369
R76785,R25445
R19212,R49370
R32327,R91085
R77515,R27089
R16303,R45787
R33767,R58032
R46599,R90062
R34807,R98837
R76094,R62099
R21410,R11458
R32269,R39094
R13543,R96006
R48328,R56320
R81426,R31209
R45417,R28694
R61192,R52408
R11232,R64833
R43013,R26338
R94758,R30538
R48760,R44418
R50959,R93103
R52343,R11390
R40256,R18803
R73637,R85232
R61923,R96070
R89007,R80321
R87113,R63191
R18733,R82982
R21209,R32950
R66024,R55896
R69510,R48666
R57434,R37743
R95119,R94389
R36473,R22337
R37680,R52505
R95350,R73697
R76516,R34574
R53312,R38505
R65010,R44251
R53694,R59466
R75839,R89055
R39087,R23807
R50171,R93623
R39448,R62546
R95390,R47546
R33212,R18181
R38633,R34820
R97180,R12787
R31402,R44780
R57127,R14035
R96838,R32633
R90267,R49532
R16996,R35322
R11006,R65329
R37740,R19473
R18137,R40691
R19555,R54170
R45082,R91062
R61939,R19355
R94954,R12006
R95468,R97211
R85379,R32140
R21439,R22970
R48080,R48374
R83576,R96383
R14970,R10370
R95924,R70826
R12022,R72263
R94441,R56842
R99769,R14151
R71798,R37604
R97546,R27806
R63072,R99239
R58684,R25000
R99085,R15471
R39035,R23967
R49986,R38646
R36260,R98593
R40237,R89578
R64581,R99249
R82172,R20030
R93254,R89275
R23946,R16834
R81911,R62077
R92465,R30459
R49565,R87970
R75276,R73836
R27111,R26775
R79707,R91614
R76821,R99473
R20328,R66200
R61608,R22837
R56875,R31060
R18277,R92320
R41569,R80140
R10027,R49020
R81358,R54414
R28574,R10455
R56030,R98754
R47224,R10624
R95984,R21302
R96712,R87581
R46195,R34096
R53163,R57935
R21688,R99737
R56908,R37799
R82283,R95163
R33282,R83510
R48258,R40657
R36761,R76126
R41557,R36992
R23809,R44720
R58419,R80666
R43418,R51698
R93541,R88558
R52590,R32214
R67551,R35606
