R5428,R9215
R7323,R4523
R9913,R2848
R5562,R4748
R6497,R7957
R8056,R3249
R4236,R9200
R8161,R8253
R1115,R4473
R6965,R5820
R1869,R7421
R8433,R6081
R3337,R3629
R5322,R6030
R8177,R8502
R3917,R9197
R3552,R1202
R1596,R9311
R1387,R1730
R2674,R5945
R6112,R2419
R5490,R2841
R6407,R4851
R6131,R8198
R7486,R5536
R4955,R7299
R4488,R1801
R6464,R7809
R1741,R7217
R6022,R4378
R4496,R5698
R2205,R2190
R5906,R9296
R8567,R9067
R4958,R2991
R8801,R2060
R6285,R8844
R4008,R9112
R3933,R2003
R6438,R3553
R4692,R7166
R4510,R7096
R6215,R3345
R5469,R1898
R6759,R9071
R9478,R3669
R6290,R7189
R7058,R3571
R1200,R5774
R8779,R7152
R8527,R3810
R7747,R4626
R3127,R7823
R3802,R2696
R4032,R5911
R6658,R5150
R4575,R7908
R9449,R3479
R7225,R1032
R3618,R5359
R7786,R7841
R5817,R2686
R8690,R8980
R3686,R4792
