设备号,统计时间,用户号,频道,回看开始时间,回看结束时间,回看时长.时.
10004,20170927,10886,东方卫视-高清,2017/9/26 23:18,2017/9/27 0:00,0.0075
10010,20170701,11021,浙江卫视-高清,2017/7/1 15:39,2017/7/1 16:01,0.0225
10010,20170701,11021,浙江卫视-高清,2017/7/1 15:39,2017/7/1 16:01,0.3492
10010,20170701,11021,浙江卫视-高清,2017/7/1 16:01,2017/7/1 17:36,1.5808
10010,20170705,11021,湖南卫视-高清,2017/7/5 20:35,2017/7/5 20:38,0.0522
10010,20170705,11021,湖南卫视-高清,2017/7/5 20:39,2017/7/5 21:26,0.7878
10010,20170706,11021,湖南卫视-高清,2017/7/6 20:13,2017/7/6 20:56,0.7186
10010,20170711,11021,湖南卫视-高清,2017/7/11 13:23,2017/7/11 13:24,0.0167
10010,20170711,11021,湖南卫视-高清,2017/7/11 11:21,2017/7/11 12:13,0.2228
10010,20170711,11021,湖南卫视-高清,2017/7/11 11:21,2017/7/11 12:13,0.64
10010,20170714,11021,湖南卫视-高清,2017/7/14 11:18,2017/7/14 11:20,0.0331
10010,20170714,11021,广州影视,2017/7/14 10:59,2017/7/14 11:02,0.0511
10010,20170714,11021,广州影视,2017/7/14 10:38,2017/7/14 10:59,0.355
10010,20170714,11021,广州影视,2017/7/14 10:34,2017/7/14 10:37,0.0536
10010,20170718,11021,湖南卫视-高清,2017/7/18 19:50,2017/7/18 20:35,0.5886
10010,20170718,11021,湖南卫视-高清,2017/7/18 19:50,2017/7/18 20:35,0.1614
10010,20170902,11021,中央6台-高清,2017/9/2 15:58,2017/9/2 17:58,1.9719
10010,20170902,11021,中央6台-高清,2017/9/2 15:58,2017/9/2 17:58,0.0292
10012,20170702,11001,翡翠台,2017/7/2 17:13,2017/7/2 17:21,0.1411
10012,20170708,11001,翡翠台,2017/7/8 17:19,2017/7/8 18:07,0.1197
10012,20170708,11001,翡翠台,2017/7/8 17:19,2017/7/8 18:07,0.6744
10012,20170713,11001,翡翠台,2017/7/13 16:43,2017/7/13 16:45,0.0444
10012,20170713,11001,翡翠台,2017/7/13 16:52,2017/7/13 16:54,0.0486
10012,20170713,11001,翡翠台,2017/7/13 16:45,2017/7/13 16:47,0.0219
10012,20170713,11001,翡翠台,2017/7/13 16:48,2017/7/13 16:50,0.0372
10012,20170713,11001,翡翠台,2017/7/13 16:31,2017/7/13 16:43,0.2003
10012,20170713,11001,翡翠台,2017/7/13 16:50,2017/7/13 16:52,0.0214
10012,20170713,11001,翡翠台,2017/7/13 16:57,2017/7/13 16:58,0.0186
10012,20170713,11001,翡翠台,2017/7/13 16:54,2017/7/13 16:57,0.0364
10012,20170801,11001,凤凰中文,2017/8/1 16:41,2017/8/1 16:48,0.1081
10012,20170801,11001,凤凰中文,2017/8/1 16:48,2017/8/1 17:26,0.6456
10012,20170806,11001,浙江卫视-高清,2017/8/6 10:50,2017/8/6 10:55,0.0922
10012,20170806,11001,浙江卫视-高清,2017/8/6 10:56,2017/8/6 11:05,0.1431
10012,20170810,11001,凤凰中文,2017/8/10 15:38,2017/8/10 15:39,0.0261
10012,20170810,11001,凤凰中文,2017/8/10 15:39,2017/8/10 16:05,0.0892
10012,20170810,11001,凤凰中文,2017/8/10 15:39,2017/8/10 16:05,0.34
10012,20170810,11001,翡翠台,2017/8/10 16:06,2017/8/10 16:10,0.0611
10012,20170810,11001,凤凰中文,2017/8/10 16:05,2017/8/10 16:06,0.0264
10012,20170811,11001,翡翠台,2017/8/11 19:36,2017/8/11 19:49,0.2203
10012,20170811,11001,翡翠台,2017/8/11 18:52,2017/8/11 19:32,0.6672
10012,20170814,11001,广州新闻,2017/8/14 16:59,2017/8/14 17:00,0.0242
10012,20170814,11001,广州新闻,2017/8/14 16:57,2017/8/14 16:59,0.0256
10012,20170814,11001,凤凰中文,2017/8/14 16:13,2017/8/14 16:15,0.0194
10012,20170814,11001,凤凰中文,2017/8/14 15:50,2017/8/14 16:13,0.2314
10012,20170814,11001,凤凰中文,2017/8/14 15:50,2017/8/14 16:13,0.1544
10012,20170814,11001,广东体育,2017/8/14 15:40,2017/8/14 15:50,0.165
10012,20170817,11001,翡翠台,2017/8/17 15:39,2017/8/17 17:27,1.4608
10012,20170817,11001,翡翠台,2017/8/17 15:39,2017/8/17 17:27,0.3381
10012,20170818,11001,翡翠台,2017/8/18 19:58,2017/8/18 20:45,0.7608
10012,20170818,11001,翡翠台,2017/8/18 19:58,2017/8/18 20:45,0.0308
10012,20170901,11001,翡翠台,2017/9/1 18:54,2017/9/1 18:55,0.0236
10012,20170901,11001,翡翠台,2017/9/1 18:55,2017/9/1 19:05,0.1628
10012,20170904,11001,中央1台-高清,2017/9/4 16:35,2017/9/4 17:19,0.7467
10012,20170911,11001,凤凰中文,2017/9/11 15:45,2017/9/11 17:32,1.5364
10012,20170911,11001,凤凰中文,2017/9/11 15:45,2017/9/11 17:32,0.2403
10012,20170911,11001,凤凰中文,2017/9/11 15:31,2017/9/11 15:45,0.2283
10012,20170911,11001,凤凰中文,2017/9/11 14:43,2017/9/11 15:31,0.8097
10012,20170912,11001,凤凰中文,2017/9/12 17:01,2017/9/12 17:14,0.2103
10012,20170912,11001,凤凰中文,2017/9/12 16:44,2017/9/12 17:01,0.2961
10012,20170913,11001,翡翠台,2017/9/13 15:05,2017/9/13 15:41,0.6008
10012,20170913,11001,翡翠台,2017/9/13 15:41,2017/9/13 16:25,0.4283
10012,20170913,11001,翡翠台,2017/9/13 15:41,2017/9/13 16:25,0.3019
10012,20170918,11001,凤凰中文,2017/9/18 16:21,2017/9/18 16:23,0.0442
10012,20170918,11001,凤凰中文,2017/9/18 16:47,2017/9/18 16:49,0.0322
10012,20170918,11001,凤凰中文,2017/9/18 16:49,2017/9/18 16:50,0.0183
10012,20170918,11001,凤凰中文,2017/9/18 16:50,2017/9/18 17:20,0.505
10012,20170918,11001,凤凰中文,2017/9/18 16:23,2017/9/18 16:47,0.3953
10012,20170920,11001,翡翠台,2017/9/20 16:51,2017/9/20 17:13,0.3728
10012,20170920,11001,翡翠台,2017/9/20 16:29,2017/9/20 16:51,0.3533
10012,20170920,11001,翡翠台,2017/9/20 17:18,2017/9/20 17:38,0.3289
10012,20170920,11001,翡翠台,2017/9/20 17:13,2017/9/20 17:18,0.0828
10012,20170920,11001,翡翠台,2017/9/20 15:43,2017/9/20 16:30,0.5003
10012,20170920,11001,翡翠台,2017/9/20 15:43,2017/9/20 16:30,0.2708
10012,20170924,11001,广东体育,2017/9/24 17:20,2017/9/24 17:36,0.2672
10012,20170924,11001,凤凰中文,2017/9/24 17:18,2017/9/24 17:20,0.0369
10012,20170924,11001,翡翠台,2017/9/24 14:46,2017/9/24 15:34,0.8019
10012,20170925,11001,翡翠台,2017/9/25 15:21,2017/9/25 15:46,0.4164
10012,20170925,11001,翡翠台,2017/9/25 14:47,2017/9/25 15:21,0.5711
10013,20170817,11075,广东卫视-高清,2017/8/17 1:38,2017/8/17 1:42,0.07
10013,20170817,11075,浙江卫视-高清,2017/8/17 23:35,2017/8/17 23:37,0.0408
10013,20170817,11075,湖南卫视-高清,2017/8/17 2:26,2017/8/17 2:27,0.0222
10013,20170818,11075,广东卫视-高清,2017/8/18 14:28,2017/8/18 14:31,0.05
10013,20170818,11075,广东卫视-高清,2017/8/18 14:31,2017/8/18 14:46,0.2428
10013,20170819,11075,广东卫视-高清,2017/8/19 13:34,2017/8/19 13:36,0.0275
10013,20170819,11075,中央3台-高清,2017/8/19 22:02,2017/8/19 22:03,0.0192
10013,20170916,11075,河南卫视,2017/9/16 22:02,2017/9/16 23:02,0.9975
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,0.2267
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,2
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,0.9667
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,2
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,2
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,2
10013,20170917,11075,河南卫视,2017/9/16 23:02,2017/9/17 10:13,2
10015,20170718,10299,中央1台-高清,2017/7/18 21:46,2017/7/18 21:48,0.0281
10015,20170718,10299,中央1台-高清,2017/7/18 21:48,2017/7/18 21:50,0.0436
10015,20170911,10299,东方卫视-高清,2017/9/11 21:01,2017/9/11 21:46,0.7439
10020,20170917,10435,湖南卫视-高清,2017/9/17 17:34,2017/9/17 19:16,0.4214
10020,20170917,10435,湖南卫视-高清,2017/9/17 17:34,2017/9/17 19:16,1.2736
10020,20170924,10435,湖南卫视-高清,2017/9/24 14:15,2017/9/24 15:50,1.5875
10020,20170924,10435,湖南卫视-高清,2017/9/24 13:54,2017/9/24 14:15,0.2531
10020,20170924,10435,湖南卫视-高清,2017/9/24 13:54,2017/9/24 14:15,0.0889
10020,20170926,10435,湖南卫视-高清,2017/9/26 20:50,2017/9/26 22:37,1.1556
10020,20170926,10435,湖南卫视-高清,2017/9/26 20:50,2017/9/26 22:37,0.6314
10027,20170805,10884,浙江卫视-高清,2017/8/5 12:37,2017/8/5 14:00,0.0067
10027,20170805,10884,浙江卫视-高清,2017/8/5 12:37,2017/8/5 14:00,1.3783
10027,20170815,10884,翡翠台,2017/8/15 14:06,2017/8/15 14:28,0.3569
10027,20170820,10884,浙江卫视-高清,2017/8/20 15:41,2017/8/20 17:17,1.2856
10027,20170820,10884,浙江卫视-高清,2017/8/20 14:50,2017/8/20 15:29,0.6372
10027,20170820,10884,浙江卫视-高清,2017/8/20 14:14,2017/8/20 14:49,0.5842
10027,20170820,10884,浙江卫视-高清,2017/8/20 15:41,2017/8/20 17:17,0.3097
10031,20170702,11153,湖南卫视-高清,2017/7/2 19:53,2017/7/2 21:14,1.2361
10031,20170702,11153,湖南卫视-高清,2017/7/2 19:53,2017/7/2 21:14,0.1067
10031,20170702,11153,南方卫视,2017/7/2 13:18,2017/7/2 13:27,0.1506
10031,20170702,11153,浙江卫视-高清,2017/7/2 12:55,2017/7/2 12:57,0.0306
10031,20170702,11153,南方卫视,2017/7/2 13:02,2017/7/2 13:18,0.2619
10031,20170702,11153,浙江卫视-高清,2017/7/2 11:37,2017/7/2 12:54,0.9069
10031,20170702,11153,浙江卫视-高清,2017/7/2 11:37,2017/7/2 12:54,0.3736
10031,20170703,11153,翡翠台,2017/7/3 13:44,2017/7/3 13:53,0.1525
10031,20170703,11153,翡翠台,2017/7/3 13:53,2017/7/3 13:55,0.0386
10031,20170703,11153,翡翠台,2017/7/3 13:33,2017/7/3 13:44,0.185
10031,20170703,11153,南方卫视,2017/7/3 13:30,2017/7/3 13:32,0.0422
10031,20170703,11153,南方卫视,2017/7/3 13:20,2017/7/3 13:30,0.17
10031,20170703,11153,南方卫视,2017/7/3 12:59,2017/7/3 13:20,0.3492
10031,20170703,11153,湖南卫视-高清,2017/7/3 12:00,2017/7/3 12:58,0.9675
10031,20170711,11153,湖南卫视-高清,2017/7/11 11:56,2017/7/11 12:35,0.0586
10031,20170711,11153,南方卫视,2017/7/11 12:37,2017/7/11 12:52,0.2514
10031,20170711,11153,湖南卫视-高清,2017/7/11 11:56,2017/7/11 12:35,0.5872
10031,20170714,11153,南方卫视,2017/7/14 12:52,2017/7/14 13:02,0.1569
10031,20170714,11153,南方卫视,2017/7/14 12:17,2017/7/14 12:29,0.2044
10031,20170714,11153,南方卫视,2017/7/14 12:42,2017/7/14 12:52,0.1631
10031,20170714,11153,南方卫视,2017/7/14 12:30,2017/7/14 12:42,0.1939
10031,20170716,11153,东方卫视-高清,2017/7/16 11:45,2017/7/16 12:51,0.8542
10031,20170716,11153,东方卫视-高清,2017/7/16 11:45,2017/7/16 12:51,0.2453
10031,20170719,11153,翡翠台,2017/7/19 12:24,2017/7/19 12:35,0.1839
10031,20170719,11153,翡翠台,2017/7/19 12:44,2017/7/19 12:46,0.0381
10031,20170719,11153,翡翠台,2017/7/19 12:46,2017/7/19 12:57,0.1889
10031,20170719,11153,翡翠台,2017/7/19 12:35,2017/7/19 12:44,0.1489
10031,20170719,11153,翡翠台,2017/7/19 12:57,2017/7/19 13:09,0.2011
10031,20170719,11153,南方卫视,2017/7/19 12:01,2017/7/19 12:13,0.1922
10031,20170719,11153,南方卫视,2017/7/19 12:13,2017/7/19 12:23,0.1642
10031,20170730,11153,湖南卫视-高清,2017/7/30 12:23,2017/7/30 12:55,0.5397
10031,20170731,11153,东方卫视-高清,2017/7/31 11:49,2017/7/31 11:51,0.0297
10031,20170731,11153,东方卫视-高清,2017/7/31 11:51,2017/7/31 11:59,0.1328
10031,20170731,11153,东方卫视-高清,2017/7/31 11:59,2017/7/31 13:26,1.4489
10031,20170731,11153,东方卫视-高清,2017/7/31 11:59,2017/7/31 13:26,0.0064
10031,20170806,11153,浙江卫视-高清,2017/8/6 12:46,2017/8/6 12:59,0.2092
10031,20170806,11153,湖南卫视-高清,2017/8/6 12:03,2017/8/6 12:45,0.6958
10031,20170808,11153,翡翠台,2017/8/8 12:55,2017/8/8 13:19,0.4069
10031,20170808,11153,翡翠台,2017/8/8 11:49,2017/8/8 12:36,0.6075
10031,20170808,11153,翡翠台,2017/8/8 11:49,2017/8/8 12:36,0.1747
10031,20170810,11153,南方卫视,2017/8/10 12:05,2017/8/10 12:15,0.1722
10031,20170810,11153,南方卫视,2017/8/10 12:22,2017/8/10 12:31,0.1519
10031,20170811,11153,湖南卫视-高清,2017/8/11 13:57,2017/8/11 13:59,0.0339
10031,20170811,11153,湖南卫视-高清,2017/8/11 12:57,2017/8/11 13:48,0.8547
10031,20170815,11153,南方卫视,2017/8/15 21:18,2017/8/15 21:28,0.1536
10031,20170815,11153,东方卫视-高清,2017/8/15 18:46,2017/8/15 19:24,0.6247
10031,20170815,11153,东方卫视-高清,2017/8/15 12:31,2017/8/15 13:21,0.83
10031,20170816,11153,中央纪录-高清,2017/8/16 19:25,2017/8/16 19:40,0.2472
10031,20170817,11153,南方卫视,2017/8/17 13:18,2017/8/17 13:27,0.155
10031,20170817,11153,东方卫视-高清,2017/8/17 11:34,2017/8/17 13:06,1.1114
10031,20170817,11153,东方卫视-高清,2017/8/17 11:34,2017/8/17 13:06,0.4303
10031,20170817,11153,南方卫视,2017/8/17 13:07,2017/8/17 13:17,0.1658
10031,20170817,11153,东方卫视-高清,2017/8/17 11:31,2017/8/17 11:33,0.0403
10031,20170818,11153,翡翠台,2017/8/18 13:28,2017/8/18 13:50,0.3575
10031,20170818,11153,湖南卫视-高清,2017/8/18 13:02,2017/8/18 13:27,0.4061
10031,20170826,11153,翡翠台,2017/8/26 21:32,2017/8/26 22:18,0.3147
10031,20170826,11153,翡翠台,2017/8/26 21:32,2017/8/26 22:18,0.4614
10031,20170826,11153,翡翠台,2017/8/26 19:13,2017/8/26 19:56,0.725
10031,20170826,11153,翡翠台,2017/8/26 19:09,2017/8/26 19:11,0.0258
10031,20170826,11153,翡翠台,2017/8/26 19:12,2017/8/26 19:13,0.0172
10031,20170827,11153,湖南卫视-高清,2017/8/27 11:19,2017/8/27 12:29,0.4908
10031,20170827,11153,湖南卫视-高清,2017/8/27 11:19,2017/8/27 12:29,0.6794
10031,20170902,11153,南方卫视,2017/9/2 18:44,2017/9/2 18:52,0.1411
10031,20170902,11153,南方卫视,2017/9/2 18:52,2017/9/2 19:02,0.1536
10031,20170910,11153,南方卫视,2017/9/10 16:55,2017/9/10 17:04,0.1478
10031,20170910,11153,南方卫视,2017/9/10 16:36,2017/9/10 16:46,0.1742
10031,20170910,11153,南方卫视,2017/9/10 16:46,2017/9/10 16:55,0.1558
10031,20170910,11153,南方卫视,2017/9/10 16:27,2017/9/10 16:36,0.1358
10031,20170910,11153,湖南卫视-高清,2017/9/10 11:55,2017/9/10 12:47,0.7947
10031,20170910,11153,湖南卫视-高清,2017/9/10 11:55,2017/9/10 12:47,0.0794
10031,20170924,11153,南方卫视,2017/9/24 16:34,2017/9/24 16:44,0.1631
10031,20170924,11153,南方卫视,2017/9/24 16:44,2017/9/24 16:55,0.1978
10031,20170924,11153,南方卫视,2017/9/24 16:11,2017/9/24 16:25,0.2278
10031,20170924,11153,南方卫视,2017/9/24 16:55,2017/9/24 17:04,0.1497
10031,20170924,11153,南方卫视,2017/9/24 15:52,2017/9/24 16:01,0.03
10031,20170924,11153,南方卫视,2017/9/24 15:52,2017/9/24 16:01,0.1181
10031,20170924,11153,南方卫视,2017/9/24 16:25,2017/9/24 16:34,0.1531
10031,20170924,11153,南方卫视,2017/9/24 16:01,2017/9/24 16:11,0.1628
10032,20170707,10721,广东体育-高清,2017/7/7 20:26,2017/7/7 21:00,0.5589
10032,20170707,10721,广州竞赛,2017/7/7 19:40,2017/7/7 20:26,0.4486
10032,20170707,10721,广州竞赛,2017/7/7 19:40,2017/7/7 20:26,0.3281
10032,20170710,10721,广东体育,2017/7/10 17:58,2017/7/10 18:26,0.4464
10032,20170710,10721,广东体育,2017/7/10 17:58,2017/7/10 18:26,0.0303
10032,20170710,10721,广东体育,2017/7/10 7:46,2017/7/10 8:21,0.3581
10032,20170710,10721,广东体育,2017/7/10 7:46,2017/7/10 8:21,0.2314
10032,20170713,10721,翡翠台,2017/7/13 7:32,2017/7/13 8:13,0.2225
10032,20170713,10721,翡翠台,2017/7/13 7:32,2017/7/13 8:13,0.4611
10032,20170715,10721,浙江卫视-高清,2017/7/15 16:08,2017/7/15 18:08,0.1431
10032,20170715,10721,浙江卫视-高清,2017/7/15 16:08,2017/7/15 18:08,1.8653
10032,20170716,10721,浙江卫视-高清,2017/7/16 15:35,2017/7/16 16:16,0.2803
10032,20170716,10721,浙江卫视-高清,2017/7/16 15:35,2017/7/16 16:16,0.4131
10032,20170716,10721,浙江卫视-高清,2017/7/16 14:17,2017/7/16 15:35,1.2964
10032,20170717,10721,浙江卫视-高清,2017/7/17 18:05,2017/7/17 20:02,0.0428
10032,20170717,10721,浙江卫视-高清,2017/7/17 18:05,2017/7/17 20:02,1.9108
10032,20170725,10721,东方卫视-高清,2017/7/24 23:50,2017/7/25 0:30,0.1625
10032,20170725,10721,东方卫视-高清,2017/7/24 23:50,2017/7/25 0:30,0.5042
10032,20170729,10721,广州竞赛,2017/7/29 23:23,2017/7/29 23:31,0.1386
10032,20170729,10721,广州竞赛,2017/7/29 23:44,2017/7/29 23:45,0.0192
10032,20170729,10721,广州竞赛,2017/7/29 23:31,2017/7/29 23:44,0.2058
10032,20170729,10721,广东体育,2017/7/29 23:45,2017/7/29 23:50,0.0917
10032,20170805,10721,广州竞赛,2017/8/5 21:39,2017/8/5 22:02,0.04
10032,20170805,10721,广州竞赛,2017/8/5 21:39,2017/8/5 22:02,0.3336
10032,20170805,10721,广州竞赛,2017/8/5 22:04,2017/8/5 22:29,0.4231
10032,20170805,10721,广州竞赛,2017/8/5 22:02,2017/8/5 22:03,0.0225
10032,20170805,10721,浙江卫视-高清,2017/8/5 15:51,2017/8/5 17:51,1.8597
10032,20170805,10721,浙江卫视-高清,2017/8/5 15:51,2017/8/5 17:51,0.1492
10032,20170809,10721,中央5台-高清,2017/8/9 7:35,2017/8/9 7:36,0.0192
10032,20170809,10721,广州竞赛,2017/8/9 7:29,2017/8/9 7:33,0.0525
10032,20170809,10721,广东体育,2017/8/9 7:33,2017/8/9 7:35,0.0392
10032,20170813,10721,广州竞赛,2017/8/13 21:42,2017/8/13 21:44,0.0333
10032,20170813,10721,中央5台-高清,2017/8/13 21:48,2017/8/13 22:07,0.1192
10032,20170813,10721,中央5台-高清,2017/8/13 21:48,2017/8/13 22:07,0.1992
10032,20170816,10721,广东体育,2017/8/16 16:00,2017/8/16 16:43,0.705
10032,20170816,10721,广东体育,2017/8/16 16:43,2017/8/16 17:48,1.0828
10032,20170816,10721,广州竞赛,2017/8/16 7:58,2017/8/16 8:02,0.0347
10032,20170816,10721,广州竞赛,2017/8/16 7:58,2017/8/16 8:02,0.0283
10032,20170816,10721,广州竞赛,2017/8/16 8:02,2017/8/16 8:26,0.4083
10032,20170819,10721,广州竞赛,2017/8/19 18:06,2017/8/19 18:08,0.0378
10032,20170822,10721,浙江卫视-高清,2017/8/22 14:44,2017/8/22 18:07,0.1283
10032,20170822,10721,浙江卫视-高清,2017/8/22 14:44,2017/8/22 18:07,2
10032,20170822,10721,浙江卫视-高清,2017/8/22 14:44,2017/8/22 18:07,1.2569
10032,20170824,10721,中央音乐,2017/8/24 15:35,2017/8/24 17:18,1.3081
10032,20170824,10721,中央音乐,2017/8/24 15:35,2017/8/24 17:18,0.4161
10032,20170825,10721,翡翠台,2017/8/25 7:15,2017/8/25 7:42,0.4456
10032,20170901,10721,中央音乐,2017/9/1 16:23,2017/9/1 17:01,0.6372
10032,20170915,10721,翡翠台,2017/9/15 8:17,2017/9/15 8:54,0.6161
10032,20170915,10721,翡翠台,2017/9/15 8:54,2017/9/15 8:59,0.0897
10033,20170830,10839,江苏卫视-高清,2017/8/29 21:43,2017/8/30 0:23,2
10033,20170830,10839,江苏卫视-高清,2017/8/29 21:43,2017/8/30 0:23,0.2831
10033,20170830,10839,江苏卫视-高清,2017/8/29 21:43,2017/8/30 0:23,0.3983
10033,20170917,10839,中央5台-高清,2017/9/17 18:55,2017/9/17 20:01,0.0239
10033,20170917,10839,中央5台-高清,2017/9/17 18:13,2017/9/17 18:55,0.7019
10033,20170917,10839,中央5台-高清,2017/9/17 18:55,2017/9/17 20:01,1.0756
10035,20170701,10946,广东新闻,2017/7/1 13:29,2017/7/1 19:15,1.2517
10035,20170701,10946,广东新闻,2017/7/1 13:29,2017/7/1 19:15,2
10035,20170701,10946,广东新闻,2017/7/1 13:29,2017/7/1 19:15,2
10035,20170701,10946,广东新闻,2017/7/1 13:29,2017/7/1 19:15,0.5025
10035,20170701,10946,广东新闻,2017/7/1 2:36,2017/7/1 12:51,0.8622
10035,20170701,10946,广东新闻,2017/7/1 2:36,2017/7/1 12:51,2
10035,20170701,10946,广东新闻,2017/7/1 2:36,2017/7/1 12:51,2
10035,20170701,10946,广东新闻,2017/7/1 2:36,2017/7/1 12:51,2
10035,20170701,10946,广东新闻,2017/7/1 2:36,2017/7/1 12:51,2
10035,20170701,10946,广东新闻,2017/7/1 2:36,2017/7/1 12:51,1.3842
10035,20170703,10946,广东体育,2017/7/3 12:26,2017/7/3 12:27,0.0239
10035,20170703,10946,广东体育,2017/7/3 3:00,2017/7/3 3:15,0.2547
10035,20170703,10946,广东体育,2017/7/3 3:27,2017/7/3 4:20,0.3447
10035,20170703,10946,广东体育,2017/7/3 3:27,2017/7/3 4:20,0.5417
10035,20170703,10946,广东体育,2017/7/3 2:07,2017/7/3 2:38,0.5058
10035,20170703,10946,广东体育,2017/7/3 2:38,2017/7/3 3:00,0.3583
10035,20170703,10946,广东体育,2017/7/3 3:15,2017/7/3 3:27,0.1864
10035,20170703,10946,广东体育,2017/7/3 4:21,2017/7/3 12:09,0.1642
10035,20170703,10946,广东体育,2017/7/3 4:21,2017/7/3 12:09,2
10035,20170703,10946,广东体育,2017/7/3 4:21,2017/7/3 12:09,2
10035,20170703,10946,广东体育,2017/7/3 4:21,2017/7/3 12:09,2
10035,20170703,10946,广东体育,2017/7/3 4:21,2017/7/3 12:09,1.6381
10035,20170703,10946,广东新闻,2017/7/3 12:27,2017/7/3 13:33,1.1067
10035,20170703,10946,广东体育,2017/7/3 12:09,2017/7/3 12:26,0.2681
10035,20170706,10946,广东新闻,2017/7/6 2:16,2017/7/6 2:31,0.2364
10035,20170706,10946,广东新闻,2017/7/6 1:42,2017/7/6 2:16,0.275
10035,20170706,10946,广东新闻,2017/7/6 1:42,2017/7/6 2:16,0.2917
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,1.1058
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,2
10035,20170707,10946,广东新闻,2017/7/7 2:38,2017/7/7 19:06,1.3625
10035,20170707,10946,广东新闻,2017/7/7 1:10,2017/7/7 1:57,0.7767
10035,20170707,10946,广东新闻,2017/7/7 1:09,2017/7/7 1:10,0.0178
10035,20170708,10946,广东体育,2017/7/8 2:06,2017/7/8 19:24,2
10035,20170708,10946,广东体育,2017/7/8 2:06,2017/7/8 19:24,2
10035,20170708,10946,广东体育,2017/7/8 2:06,2017/7/8 19:24,2
