设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号
10013,20170718,精彩点,07月15日 贝肯熊(高清),2017/7/18 14:39,2017/7/18 15:05,11075
10013,20170718,精彩点,07月10日 贝肯熊(高清),2017/7/18 9:56,2017/7/18 10:21,11075
10013,20170718,精彩点,07月01日 贝肯熊(高清),2017/7/18 15:05,2017/7/18 19:41,11075
10013,20170718,精彩点,07月02日 贝肯熊(高清),2017/7/18 20:09,2017/7/18 20:37,11075
10013,20170718,精彩点,大军师司马懿之军师联盟(09)(高清),2017/7/18 22:07,2017/7/18 23:32,11075
10013,20170718,精彩点,07月13日 贝肯熊(高清),2017/7/18 11:13,2017/7/18 11:39,11075
10013,20170718,精彩点,07月09日 贝肯熊(高清),2017/7/18 0:01,2017/7/18 9:56,11075
10013,20170718,精彩点,大军师司马懿之军师联盟(08)(高清),2017/7/18 21:43,2017/7/18 22:07,11075
10013,20170718,精彩点,07月12日 贝肯熊(高清),2017/7/18 10:47,2017/7/18 11:13,11075
10013,20170718,精彩点,07月11日 贝肯熊(高清),2017/7/18 10:21,2017/7/18 10:46,11075
10013,20170718,精彩点,07月08日 贝肯熊(高清),2017/7/17 23:32,2017/7/18 0:00,11075
10013,20170718,精彩点,07月14日 贝肯熊(高清),2017/7/18 14:14,2017/7/18 14:39,11075
10013,20170719,精彩点,05月13日 熊出没之春日对对碰,2017/7/19 14:22,2017/7/19 14:35,11075
10013,20170719,精彩点,07月02日 贝肯熊(高清),2017/7/19 19:19,2017/7/19 19:27,11075
10013,20170719,精彩点,07月03日 贝肯熊(高清),2017/7/19 19:27,2017/7/19 19:55,11075
10013,20170719,精彩点,05月14日 熊出没之春日对对碰,2017/7/19 15:19,2017/7/19 16:11,11075
10013,20170719,精彩点,05月15日 熊出没之春日对对碰,2017/7/19 16:11,2017/7/19 16:56,11075
10013,20170719,精彩点,05月13日 熊出没之春日对对碰,2017/7/19 14:35,2017/7/19 15:19,11075
10013,20170719,精彩点,07月01日 贝肯熊(高清),2017/7/19 13:41,2017/7/19 14:07,11075
10013,20170719,精彩点,07月01日 贝肯熊(高清),2017/7/19 18:53,2017/7/19 19:18,11075
10013,20170719,精彩点,07月02日 贝肯熊(高清),2017/7/19 14:07,2017/7/19 14:22,11075
10013,20170720,精彩点,07月01日 贝肯熊(高清),2017/7/20 13:45,2017/7/20 14:10,11075
10013,20170720,精彩点,05月13日 熊出没之秋日团团转(高清),2017/7/20 9:32,2017/7/20 12:51,11075
10013,20170720,精彩点,05月07日 熊出没之秋日团团转(高清),2017/7/20 14:11,2017/7/20 16:07,11075
10013,20170720,精彩点,06月03日 熊出没之秋日团团转(高清),2017/7/20 19:55,2017/7/20 21:00,11075
10013,20170720,精彩点,07月02日 贝肯熊(高清),2017/7/20 19:27,2017/7/20 19:55,11075
10013,20170720,精彩点,05月07日 熊出没之秋日团团转(高清),2017/7/19 19:56,2017/7/20 9:32,11075
10013,20170720,精彩点,07月01日 贝肯熊(高清),2017/7/20 19:02,2017/7/20 19:27,11075
10013,20170721,精彩点,大军师司马懿之军师联盟(09)(高清),2017/7/21 21:57,2017/7/21 22:00,11075
10013,20170721,精彩点,大军师司马懿之军师联盟(10)(高清),2017/7/21 21:49,2017/7/21 21:51,11075
10013,20170721,精彩点,大军师司马懿之军师联盟(11)(高清),2017/7/21 21:51,2017/7/21 21:56,11075
10013,20170721,精彩点,大军师司马懿之军师联盟(10)(高清),2017/7/21 22:00,2017/7/21 22:48,11075
10013,20170723,精彩点,大军师司马懿之军师联盟(11)(高清),2017/7/23 20:39,2017/7/23 21:18,11075
10013,20170723,精彩点,大军师司马懿之军师联盟(13)(高清),2017/7/23 21:19,2017/7/23 22:04,11075
10013,20170723,精彩点,大军师司马懿之军师联盟(12)(高清),2017/7/23 19:54,2017/7/23 20:39,11075
10013,20170723,精彩点,大军师司马懿之军师联盟(14)(高清),2017/7/23 22:04,2017/7/23 22:49,11075
10013,20170724,精彩点,大军师司马懿之军师联盟(14)(高清),2017/7/24 19:54,2017/7/24 19:58,11075
10013,20170724,精彩点,07月02日 贝肯熊(高清),2017/7/24 19:07,2017/7/24 19:32,11075
10013,20170724,精彩点,07月03日 贝肯熊(高清),2017/7/24 19:32,2017/7/24 19:54,11075
10013,20170724,精彩点,大军师司马懿之军师联盟(18)(高清),2017/7/24 22:15,2017/7/24 23:00,11075
10013,20170724,精彩点,07月01日 贝肯熊(高清),2017/7/24 18:42,2017/7/24 19:07,11075
10013,20170724,精彩点,大军师司马懿之军师联盟(16)(高清),2017/7/24 20:42,2017/7/24 21:30,11075
10013,20170724,精彩点,大军师司马懿之军师联盟(17)(高清),2017/7/24 21:31,2017/7/24 22:15,11075
10013,20170724,精彩点,大军师司马懿之军师联盟(15)(高清),2017/7/24 19:58,2017/7/24 20:42,11075
10013,20170724,精彩点,大军师司马懿之军师联盟(15)(高清),2017/7/23 22:49,2017/7/24 13:41,11075
10013,20170725,精彩点,07月01日 贝肯熊(高清),2017/7/25 11:29,2017/7/25 11:54,11075
10013,20170725,精彩点,07月05日 贝肯熊(高清),2017/7/25 13:15,2017/7/25 13:41,11075
10013,20170725,精彩点,07月01日 贝肯熊(高清),2017/7/25 21:58,2017/7/25 22:28,11075
10013,20170725,精彩点,05月14日 熊出没之春日对对碰,2017/7/25 16:54,2017/7/25 18:45,11075
10013,20170725,精彩点,07月06日 贝肯熊(高清),2017/7/25 13:41,2017/7/25 14:07,11075
10013,20170725,精彩点,07月02日 贝肯熊(高清),2017/7/25 22:28,2017/7/25 22:51,11075
10013,20170725,精彩点,05月13日 熊出没之春日对对碰,2017/7/25 16:02,2017/7/25 16:54,11075
10013,20170725,精彩点,07月04日 贝肯熊(高清),2017/7/25 12:51,2017/7/25 13:15,11075
10013,20170725,精彩点,07月02日 贝肯熊(高清),2017/7/25 11:54,2017/7/25 12:47,11075
10013,20170725,精彩点,大军师司马懿之军师联盟(19)(高清),2017/7/24 23:00,2017/7/25 11:28,11075
10013,20170725,精彩点,07月03日 贝肯熊(高清),2017/7/25 12:47,2017/7/25 12:51,11075
10013,20170726,精彩点,05月13日 熊出没之春日对对碰,2017/7/26 12:48,2017/7/26 13:41,11075
10013,20170726,精彩点,07月03日 贝肯熊(高清),2017/7/26 11:58,2017/7/26 12:23,11075
10013,20170726,精彩点,07月04日 贝肯熊(高清),2017/7/26 12:23,2017/7/26 12:48,11075
10013,20170726,精彩点,07月01日 贝肯熊(高清),2017/7/26 18:28,2017/7/26 18:53,11075
10013,20170726,精彩点,07月01日 贝肯熊(高清),2017/7/26 11:32,2017/7/26 11:57,11075
10013,20170726,精彩点,07月03日 贝肯熊(高清),2017/7/25 22:51,2017/7/26 11:30,11075
10013,20170726,精彩点,05月14日 熊出没之春日对对碰,2017/7/26 13:44,2017/7/26 14:44,11075
10013,20170726,精彩点,07月02日 贝肯熊(高清),2017/7/26 18:54,2017/7/26 19:20,11075
10013,20170727,精彩点,07月10日 贝肯熊(高清),2017/7/27 13:10,2017/7/27 13:34,11075
10013,20170727,精彩点,07月12日 贝肯熊(高清),2017/7/27 13:59,2017/7/27 14:07,11075
10013,20170727,精彩点,07月06日 贝肯熊(高清),2017/7/27 11:29,2017/7/27 11:55,11075
10013,20170727,精彩点,07月05日 贝肯熊(高清),2017/7/27 11:04,2017/7/27 11:29,11075
10013,20170727,精彩点,05月31日 熊出没之夏日连连看(高清),2017/7/26 19:20,2017/7/27 9:47,11075
10013,20170727,精彩点,07月07日 贝肯熊(高清),2017/7/27 11:54,2017/7/27 12:19,11075
10013,20170727,精彩点,07月11日 贝肯熊(高清),2017/7/27 13:34,2017/7/27 13:59,11075
10013,20170727,精彩点,07月08日 贝肯熊(高清),2017/7/27 12:20,2017/7/27 12:46,11075
10013,20170727,精彩点,07月04日 贝肯熊(高清),2017/7/27 10:39,2017/7/27 11:04,11075
10013,20170727,精彩点,07月04日 贝肯熊(高清),2017/7/27 14:57,2017/7/27 18:49,11075
10013,20170727,精彩点,07月03日 贝肯熊(高清),2017/7/27 14:32,2017/7/27 14:57,11075
10013,20170727,精彩点,07月09日 贝肯熊(高清),2017/7/27 12:46,2017/7/27 13:10,11075
10013,20170727,精彩点,07月01日 贝肯熊(高清),2017/7/27 9:48,2017/7/27 10:12,11075
10013,20170727,精彩点,07月02日 贝肯熊(高清),2017/7/27 10:12,2017/7/27 10:38,11075
10013,20170727,精彩点,07月02日 贝肯熊(高清),2017/7/27 14:08,2017/7/27 14:32,11075
10013,20170728,精彩点,07月02日 贝肯熊(高清),2017/7/28 10:26,2017/7/28 10:49,11075
10013,20170728,精彩点,07月03日 贝肯熊(高清),2017/7/28 19:40,2017/7/28 20:06,11075
10013,20170728,精彩点,07月02日 贝肯熊(高清),2017/7/28 19:16,2017/7/28 19:40,11075
10013,20170728,精彩点,07月03日 贝肯熊(高清),2017/7/28 10:49,2017/7/28 11:14,11075
10013,20170728,精彩点,07月07日 贝肯熊(高清),2017/7/28 11:41,2017/7/28 19:15,11075
10013,20170728,精彩点,07月04日 贝肯熊(高清),2017/7/28 11:14,2017/7/28 11:39,11075
10013,20170729,精彩点,07月06日 贝肯熊(高清),2017/7/29 11:57,2017/7/29 12:22,11075
10013,20170729,精彩点,07月03日 贝肯熊(高清),2017/7/29 10:42,2017/7/29 11:07,11075
10013,20170729,精彩点,07月07日 贝肯熊(高清),2017/7/29 12:22,2017/7/29 12:47,11075
10013,20170729,精彩点,07月04日 贝肯熊(高清),2017/7/29 11:08,2017/7/29 11:32,11075
10013,20170729,精彩点,07月02日 贝肯熊(高清),2017/7/28 20:06,2017/7/29 10:42,11075
10013,20170729,精彩点,07月09日 贝肯熊(高清),2017/7/29 13:18,2017/7/29 13:42,11075
10013,20170729,精彩点,07月05日 贝肯熊(高清),2017/7/29 11:32,2017/7/29 11:57,11075
10013,20170729,精彩点,07月08日 贝肯熊(高清),2017/7/29 12:47,2017/7/29 13:17,11075
10013,20170729,精彩点,07月10日 贝肯熊(高清),2017/7/29 13:42,2017/7/29 14:09,11075
10013,20170730,精彩点,07月01日 贝肯熊(高清),2017/7/30 22:23,2017/7/30 22:47,11075
10013,20170730,精彩点,07月12日 贝肯熊(高清),2017/7/30 12:01,2017/7/30 12:18,11075
10013,20170730,精彩点,07月01日 贝肯熊(高清),2017/7/30 10:22,2017/7/30 10:47,11075
10013,20170730,精彩点,07月13日 贝肯熊(高清),2017/7/30 12:19,2017/7/30 12:50,11075
10013,20170730,精彩点,07月11日 贝肯熊(高清),2017/7/30 11:36,2017/7/30 12:01,11075
10013,20170730,精彩点,07月15日 贝肯熊(高清),2017/7/30 14:14,2017/7/30 14:38,11075
10013,20170730,精彩点,07月15日 贝肯熊(高清),2017/7/30 13:49,2017/7/30 14:14,11075
10013,20170730,精彩点,07月08日 贝肯熊(高清),2017/7/30 10:47,2017/7/30 11:12,11075
10013,20170730,精彩点,07月10日 贝肯熊(高清),2017/7/30 11:12,2017/7/30 11:36,11075
10013,20170730,精彩点,07月15日 贝肯熊(高清),2017/7/30 14:40,2017/7/30 15:06,11075
10013,20170730,精彩点,07月02日 贝肯熊(高清),2017/7/30 9:58,2017/7/30 10:21,11075
10013,20170730,精彩点,07月14日 贝肯熊(高清),2017/7/30 13:24,2017/7/30 13:48,11075
10013,20170731,精彩点,大军师司马懿之军师联盟(20)(高清),2017/7/31 21:50,2017/7/31 22:34,11075
10013,20170731,精彩点,05月13日 熊出没之春日对对碰,2017/7/31 20:37,2017/7/31 21:30,11075
10013,20170731,精彩点,07月03日 贝肯熊(高清),2017/7/30 22:48,2017/7/31 10:22,11075
10013,20170731,精彩点,07月04日 贝肯熊(高清),2017/7/31 10:48,2017/7/31 19:27,11075
10013,20170731,精彩点,大军师司马懿之军师联盟(19)(高清),2017/7/31 21:33,2017/7/31 21:50,11075
10013,20170731,精彩点,07月07日 贝肯熊(高清),2017/7/31 19:43,2017/7/31 20:08,11075
10013,20170731,精彩点,07月03日 贝肯熊(高清),2017/7/31 10:22,2017/7/31 10:48,11075
10013,20170731,精彩点,07月06日 贝肯熊(高清),2017/7/31 19:28,2017/7/31 19:43,11075
10013,20170731,精彩点,05月14日 熊出没之春日对对碰,2017/7/31 21:31,2017/7/31 21:33,11075
10013,20170731,精彩点,07月09日 贝肯熊(高清),2017/7/31 20:09,2017/7/31 20:32,11075
10013,20170801,精彩点,07月04日 贝肯熊(高清),2017/8/1 14:26,2017/8/1 14:51,11075
10013,20170801,精彩点,大军师司马懿之军师联盟(21)(高清),2017/7/31 22:34,2017/8/1 13:34,11075
10013,20170801,精彩点,07月03日 贝肯熊(高清),2017/8/1 14:05,2017/8/1 14:26,11075
10013,20170801,精彩点,07月01日 贝肯熊(高清),2017/8/1 13:36,2017/8/1 14:01,11075
10013,20170801,精彩点,07月10日 贝肯熊(高清),2017/8/1 20:37,2017/8/1 21:01,11075
10013,20170801,精彩点,07月08日 贝肯熊(高清),2017/8/1 19:49,2017/8/1 20:13,11075
10013,20170801,精彩点,07月03日 贝肯熊(高清),2017/8/1 14:01,2017/8/1 14:05,11075
10013,20170801,精彩点,07月07日 贝肯熊(高清),2017/8/1 19:24,2017/8/1 19:48,11075
10013,20170801,精彩点,07月11日 贝肯熊(高清),2017/8/1 21:04,2017/8/1 21:31,11075
10013,20170801,精彩点,07月05日 贝肯熊(高清),2017/8/1 14:51,2017/8/1 18:48,11075
10013,20170801,精彩点,07月05日 贝肯熊(高清),2017/8/1 18:48,2017/8/1 19:13,11075
10013,20170801,精彩点,07月09日 贝肯熊(高清),2017/8/1 20:13,2017/8/1 20:37,11075
10013,20170801,精彩点,07月06日 贝肯熊(高清),2017/8/1 19:13,2017/8/1 19:24,11075
10013,20170801,精彩点,大军师司马懿之军师联盟(22)(高清),2017/8/1 13:34,2017/8/1 13:36,11075
10013,20170802,精彩点,07月15日 贝肯熊(高清),2017/8/2 10:48,2017/8/2 11:13,11075
10013,20170802,精彩点,07月14日 贝肯熊(高清),2017/8/2 11:13,2017/8/2 11:42,11075
10013,20170803,精彩点,07月14日 贝肯熊(高清),2017/8/3 20:30,2017/8/3 20:54,11075
10013,20170803,精彩点,07月15日 贝肯熊(高清),2017/8/3 19:14,2017/8/3 19:39,11075
10013,20170803,精彩点,07月13日 贝肯熊(高清),2017/8/3 20:03,2017/8/3 20:29,11075
10013,20170803,精彩点,07月15日 贝肯熊(高清),2017/8/3 20:54,2017/8/3 21:13,11075
10013,20170803,精彩点,07月14日 贝肯熊(高清),2017/8/3 19:39,2017/8/3 20:03,11075
10013,20170804,精彩点,05月17日 熊熊乐园(高清),2017/8/4 12:46,2017/8/4 13:29,11075
10013,20170804,精彩点,05月17日 熊熊乐园(高清),2017/8/4 13:33,2017/8/4 14:23,11075
10013,20170804,精彩点,07月15日 贝肯熊(高清),2017/8/4 10:07,2017/8/4 10:31,11075
10013,20170804,精彩点,07月13日 贝肯熊(高清),2017/8/4 10:33,2017/8/4 10:58,11075
10013,20170804,精彩点,07月14日 贝肯熊(高清),2017/8/4 10:58,2017/8/4 11:15,11075
10013,20170804,精彩点,07月15日 贝肯熊(高清),2017/8/4 10:01,2017/8/4 10:07,11075
10013,20170804,精彩点,05月19日 熊熊乐园(高清),2017/8/4 21:27,2017/8/4 22:30,11075
10013,20170804,精彩点,05月17日 熊熊乐园(高清),2017/8/4 13:29,2017/8/4 13:33,11075
10013,20170804,精彩点,05月16日 熊熊乐园(高清),2017/8/4 11:58,2017/8/4 12:45,11075
10013,20170804,精彩点,05月18日 熊熊乐园(高清),2017/8/4 14:23,2017/8/4 20:37,11075
10013,20170804,精彩点,05月18日 熊熊乐园(高清),2017/8/4 20:39,2017/8/4 21:27,11075
10013,20170804,精彩点,05月15日 熊熊乐园(高清),2017/8/4 11:15,2017/8/4 11:57,11075
10013,20170805,精彩点,05月25日 熊熊乐园(高清),2017/8/5 13:13,2017/8/5 14:05,11075
10013,20170805,精彩点,05月23日 熊熊乐园(高清),2017/8/5 11:38,2017/8/5 12:25,11075
10013,20170805,精彩点,05月22日 熊熊乐园(高清),2017/8/5 10:50,2017/8/5 11:37,11075
10013,20170805,精彩点,05月24日 熊熊乐园(高清),2017/8/5 12:25,2017/8/5 13:13,11075
10013,20170805,精彩点,07月11日 熊熊乐园(高清),2017/8/5 19:49,2017/8/5 20:49,11075
10013,20170805,精彩点,06月05日 熊熊乐园(高清),2017/8/5 14:53,2017/8/5 15:46,11075
10013,20170805,精彩点,07月15日 贝肯熊(高清),2017/8/5 21:11,2017/8/5 21:36,11075
10013,20170805,精彩点,07月18日 熊熊乐园(高清),2017/8/5 20:49,2017/8/5 21:11,11075
10013,20170805,精彩点,05月26日 熊熊乐园(高清),2017/8/5 14:05,2017/8/5 14:53,11075
10013,20170805,精彩点,07月23日 大耳朵图图彩色小世界,2017/8/5 21:37,2017/8/5 21:39,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(29)(高清),2017/8/6 21:50,2017/8/6 22:34,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(27)(高清),2017/8/6 21:05,2017/8/6 21:07,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(28)(高清),2017/8/6 21:07,2017/8/6 21:50,11075
10013,20170806,精彩点,大军师司马懿之军师联盟(30)(高清),2017/8/6 22:34,2017/8/6 23:18,11075
10013,20170807,精彩点,07月04日 贝肯熊(高清),2017/8/7 15:19,2017/8/7 15:44,11075
10013,20170807,精彩点,大军师司马懿之军师联盟(34)(高清),2017/8/7 21:24,2017/8/7 22:09,11075
10013,20170807,精彩点,07月07日 贝肯熊(高清),2017/8/7 15:45,2017/8/7 16:10,11075
10013,20170807,精彩点,07月10日 贝肯熊(高清),2017/8/7 16:35,2017/8/7 16:59,11075
10013,20170807,精彩点,07月12日 贝肯熊(高清),2017/8/7 16:59,2017/8/7 19:29,11075
10013,20170807,精彩点,07月03日 贝肯熊(高清),2017/8/7 14:53,2017/8/7 15:19,11075
10013,20170807,精彩点,07月02日 贝肯熊(高清),2017/8/7 11:45,2017/8/7 12:09,11075
10013,20170807,精彩点,大军师司马懿之军师联盟(32)(高清),2017/8/7 19:56,2017/8/7 20:40,11075
10013,20170807,精彩点,大军师司马懿之军师联盟(33)(高清),2017/8/7 20:40,2017/8/7 21:24,11075
10013,20170807,精彩点,大军师司马懿之军师联盟(31)(高清),2017/8/6 23:18,2017/8/7 0:01,11075
10013,20170807,精彩点,07月02日 贝肯熊(高清),2017/8/7 14:30,2017/8/7 14:54,11075
10013,20170807,精彩点,07月01日 贝肯熊(高清),2017/8/7 11:20,2017/8/7 11:45,11075
10013,20170807,精彩点,07月13日 贝肯熊(高清),2017/8/7 19:29,2017/8/7 19:55,11075
