用户号,设备号,点播日期,节目名称,点播金额,点播金额.元.,二级目录
10138,10058,20170813,巧虎来啦(07),49,0.49,少儿乐园
10138,10058,20170814,巧虎来啦(06),49,0.49,少儿乐园
10138,10058,20170814,托马斯和他的朋友们 第十四季(13),499,4.99,少儿乐园
10138,10058,20170816,巧虎来啦(13),49,0.49,少儿乐园
10138,10058,20170817,巧虎来啦(05),49,0.49,少儿乐园
10138,10058,20170818,巧虎来啦(09),49,0.49,少儿乐园
10138,10058,20170823,小猪佩奇 第四季(20),499,4.99,少儿乐园
10138,10058,20170823,巧虎来啦(11),49,0.49,少儿乐园
10138,10058,20170828,【NEW】雄狮(国语版)(高清)(奥斯卡六项提名，“平民窟”男主寻亲路),999,9.99,院线大片
10138,10058,20170828,【NEW】异星觉醒(高清)(外星生物现邪恶真身，极致惊悚无尿点),999,9.99,院线大片
10138,10058,20170828,巧虎来啦(11),49,0.49,少儿乐园
10138,10058,20170830,巧虎来啦(08),49,0.49,少儿乐园
10138,10058,20170830,【NEW】你的名字(高清)(一场时空混乱的美丽谎言),999,9.99,院线大片
10138,10058,20170901,托马斯和他的朋友们 第十四季(14),499,4.99,少儿乐园
10138,10058,20170901,巧虎来啦(04),49,0.49,少儿乐园
10138,10058,20170904,【NEW】绣春刀II：修罗战场(高清)(张震雷佳音飙戏，优质续作榜样),999,9.99,院线大片
10138,10058,20170907,巧虎来啦(13),49,0.49,少儿乐园
10138,10058,20170909,巧虎来啦(13),49,0.49,少儿乐园
10138,10058,20170909,小猪佩奇 第三季(19),499,4.99,少儿乐园
10138,10058,20170909,巧虎来啦(10),49,0.49,少儿乐园
10138,10058,20170912,巧虎来啦(09),49,0.49,少儿乐园
10138,10058,20170913,巧虎来啦(08),49,0.49,少儿乐园
10138,10058,20170913,托马斯和他的朋友们 第十五季(13),499,4.99,少儿乐园
10138,10058,20170913,【NEW】绣春刀II：修罗战场(高清)(张震雷佳音飙戏，优质续作榜样),999,9.99,院线大片
10138,10058,20170914,巧虎来啦(15),49,0.49,少儿乐园
10138,10058,20170914,托马斯和他的朋友们 第十五季(11),499,4.99,少儿乐园
10138,10058,20170916,巧虎来啦(13),49,0.49,少儿乐园
10138,10058,20170916,巧虎来啦(08),49,0.49,少儿乐园
10138,10058,20170916,巧虎来啦(12),49,0.49,少儿乐园
10138,10058,20170916,巧虎来啦(09),49,0.49,少儿乐园
10138,10058,20170917,巧虎来啦(11),49,0.49,少儿乐园
10138,10058,20170918,巧虎来啦(05),49,0.49,少儿乐园
10138,10058,20170919,巧虎来啦(14),49,0.49,少儿乐园
10148,10280,20170729,奥特银河大怪兽之战(07),499,4.99,少儿乐园
10148,10280,20170810,【NEW】逆时营救(高清)(平行时空，变异互博),999,9.99,院线大片
10148,10280,20170825,【NEW】逆时营救(高清)(平行时空，变异互博),999,9.99,院线大片
10152,11255,20170822,临时演员(高清)(小猎豹郑恺搞定“大明星”热依扎),999,9.99,院线大片
10152,11255,20170822,血狼犬(高清)(狼犬大战震慑心灵),999,9.99,院线大片
10152,11255,20170922,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10152,11255,20170925,女间谍(高清)(“火辣尤物”爆笑救场),999,9.99,院线大片
10168,10343,20170721,【NEW】吃吃的爱(高清)(林志玲狠狠“掌掴”小S),999,9.99,院线大片
10175,10257,20170928,捷德奥特曼(12)(高清),99,0.99,动漫剧场
10195,11291,20170924,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10213,10735,20170923,人间至味是清欢(06)(高清),99,0.99,精彩点
10213,10735,20170924,人间至味是清欢(07)(高清),99,0.99,精彩点
10213,10735,20170924,人间至味是清欢(11)(高清),99,0.99,精彩点
10213,10735,20170924,人间至味是清欢(09)(高清),99,0.99,精彩点
10213,10735,20170924,人间至味是清欢(10)(高清),99,0.99,精彩点
10213,10735,20170924,人间至味是清欢(08)(高清),99,0.99,精彩点
10213,10735,20170925,人间至味是清欢(29)(高清),99,0.99,精彩点
10213,10735,20170925,人间至味是清欢(27)(高清),99,0.99,精彩点
10213,10735,20170925,人间至味是清欢(28)(高清),99,0.99,精彩点
10213,10735,20170925,人间至味是清欢(26)(高清),99,0.99,精彩点
10213,10735,20170930,【NEW】绣春刀II：修罗战场(高清)(张震雷佳音飙戏，优质续作榜样),999,9.99,院线大片
10228,10954,20170916,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10228,10954,20170916,愤怒的小鸟 第一季(02)(高清),49,0.49,动漫剧场
10228,10954,20170916,【NEW】新木乃伊(高清)(“黑暗宇宙”揭怪物序幕),999,9.99,院线大片
10234,10345,20170712,西游伏妖篇(高清)(吴亦凡版唐僧太逗比),999,9.99,院线大片
10234,10345,20170923,【NEW】神偷奶爸3(高清)(失业格鲁回归坏蛋行列？),999,9.99,院线大片
10234,10345,20170923,博人传 火影忍者新时代(24)(高清),99,0.99,动漫剧场
10234,10345,20170923,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10234,10345,20170929,我的英雄学院(02)(高清),99,0.99,动漫剧场
10234,10345,20170930,我的英雄学院(06)(高清),99,0.99,动漫剧场
10234,10345,20170930,我的英雄学院(03)(高清),99,0.99,动漫剧场
10234,10345,20170930,我的英雄学院(04)(高清),99,0.99,动漫剧场
10234,10345,20170930,我的英雄学院(05)(高清),99,0.99,动漫剧场
10242,10090,20170827,窈窕绅士(高清)(林熙蕾改造孙红雷),499,4.99,精彩点
10247,11175,20170723,07月22日 非诚勿扰：高颜值小鲜肉被女嘉宾调戏(高清),99,0.99,精彩点
10258,10784,20170715,Clannad 第一季(02)(高清),99,0.99,动漫剧场
10259,10506,20170822,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10264,10660,20170708,【NEW】拆弹专家(高清)(刘德华边拆炸弹边“告白”),999,9.99,院线大片
10264,10660,20170708,【NEW】异星觉醒(高清)(外星生物现邪恶真身，极致惊悚无尿点),999,9.99,院线大片
10264,10660,20170710,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10264,10660,20170710,生化危机：终章(高清)(集结最强，战力升级),999,9.99,院线大片
10272,10416,20170831,杀破狼(高清)(吴京、甄子丹后巷对打),499,4.99,热点专题
10273,11218,20170701,06月30日 奔跑吧：收官之战！邓超遇王力宏变迷弟(高清),99,0.99,精彩点
10273,11218,20170702,07月01日 快乐大本营：刘恺威魏大勋COS偶像演绎串烧(高清),99,0.99,精彩点
10273,11218,20170718,07月07日 奔跑吧：奔跑团探班 鹿晗热巴二次元对话萌翻(高清),99,0.99,精彩点
10273,11218,20170718,07月15日 快乐大本营：Angelababy嗨玩双截棍(高清),99,0.99,精彩点
10273,11218,20170721,03月25日 王牌对王牌 第二季：王源演技爆发成烈士(高清),99,0.99,精彩点
10273,11218,20170721,03月10日 王牌对王牌 第二季：爱情公寓8周年重聚(高清),99,0.99,精彩点
10273,11218,20170722,神偷奶爸2(高清)(激萌小黄人爆笑追凶),499,4.99,热点专题
10273,11218,20170723,07月22日 快乐大本营：范爷胡歌送祝福惹哭何老师(高清),99,0.99,精彩点
10273,11218,20170724,07月22日 中餐厅：赵薇晓明“相爱相杀”(高清),99,0.99,精彩点
10273,11218,20170727,03月31日 王牌对王牌 第二季：王源林俊杰隔空互动(高清),99,0.99,精彩点
10273,11218,20170728,04月07日 王牌对王牌 第二季：王源魔幻弹唱 贾玲辣眼cos白浅(高清),99,0.99,精彩点
10273,11218,20170730,07月29日 快乐大本营：TFBOYS献唱快本最新主题曲(高清),99,0.99,精彩点
10273,11218,20170803,07月29日 中餐厅：张亮展厨艺圈粉周冬雨(高清),99,0.99,精彩点
10273,11218,20170808,08月05日 中餐厅：黄晓明再掀定价风波(高清),99,0.99,精彩点
10273,11218,20170820,08月18日 我们来了 第二季：陈妍希展现跳远绝技(高清),99,0.99,精彩点
10273,11218,20170903,09月01日 我们来了 第二季：宋茜被辣哭贡献表情包(高清),99,0.99,精彩点
10273,11218,20170909,09月08日 我们来了 第二季：陈妍希携吴秀波唱情歌(高清),99,0.99,精彩点
10273,11218,20170924,09月22日 我们来了 第二季：关之琳隐藏技能大爆发(高清),99,0.99,精彩点
10289,10413,20170708,巧虎来啦(15),49,0.49,少儿乐园
10289,10413,20170710,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10299,10015,20170708,我的一九九七(13)(高清),99,0.99,精彩点
10299,10015,20170713,我的一九九七(01)(高清),99,0.99,精彩点
10299,10015,20170713,我的一九九七(02)(高清),99,0.99,精彩点
10299,10015,20170718,我的前半生(01)(高清),99,0.99,精彩点
10299,10015,20170730,楚乔传(01)(高清),99,0.99,精彩点
10299,10015,20170803,楚乔传(04)(高清),99,0.99,精彩点
10299,10015,20170803,楚乔传(03)(高清),99,0.99,精彩点
10299,10015,20170812,楚乔传(23)(高清),99,0.99,精彩点
10299,10015,20170812,楚乔传(22)(高清),99,0.99,精彩点
10299,10015,20170812,楚乔传(24)(高清),99,0.99,精彩点
10299,10015,20170812,楚乔传(25)(高清),99,0.99,精彩点
10299,10015,20170813,楚乔传(27)(高清),99,0.99,精彩点
10299,10015,20170813,楚乔传(26)(高清),99,0.99,精彩点
10299,10015,20170909,我们的爱(03)(高清),99,0.99,精彩点
10299,10015,20170909,我们的爱(02)(高清),99,0.99,精彩点
10299,10015,20170910,人间至味是清欢(01)(高清),99,0.99,精彩点
10299,10015,20170910,我们的爱(04)(高清),99,0.99,精彩点
10299,10015,20170911,秦时丽人明月心(01)(高清),99,0.99,精彩点
10299,10015,20170911,平凡岁月(01)(高清),99,0.99,精彩点
10299,10015,20170928,我的前半生(37)(高清),99,0.99,精彩点
10303,10500,20170909,人间至味是清欢(38)(高清),99,0.99,精彩点
10303,10500,20170909,我差点就信了(29)(高清),99,0.99,动漫剧场
10303,10500,20170909,09月01日 星原小宝,49,0.49,精彩点
10303,10500,20170909,小猪佩奇 第三季(26),499,4.99,少儿乐园
10303,10500,20170909,人间至味是清欢(39)(高清),99,0.99,精彩点
10303,10500,20170909,人间至味是清欢(37)(高清),99,0.99,精彩点
10303,10500,20170909,小猪佩奇 第四季(26)(高清),99,0.99,动漫剧场
10303,10500,20170909,人间至味是清欢(36)(高清),99,0.99,精彩点
10303,10500,20170911,人间至味是清欢(42)(高清)(大结局),99,0.99,精彩点
10310,10371,20170804,蜘蛛侠3(高清)(心狠手辣“毒蜘蛛”),499,4.99,热点专题
10310,10371,20170819,星际穿越(高清)(2015奥斯卡最佳视觉效果),499,4.99,精彩点
10310,10371,20170819,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10310,10371,20170819,银河护卫队(高清)(保护地球已过时，拯救宇宙是正事),499,4.99,热点专题
10310,10371,20170820,复仇者联盟(高清)(史上最强兄弟联盟),499,4.99,热点专题
10310,10371,20170825,嫌疑人X的献身(高清)(王凯开解迷局，中国版结局谁是凶手),999,9.99,院线大片
10310,10371,20170826,【NEW】异星觉醒(高清)(外星生物现邪恶真身，极致惊悚无尿点),999,9.99,院线大片
10310,10371,20170918,那年花开月正圆(27)(高清),99,0.99,精彩点
10310,10371,20170918,那年花开月正圆(26)(高清),99,0.99,精彩点
10310,10371,20170918,那年花开月正圆(29)(高清),99,0.99,精彩点
10310,10371,20170919,那年花开月正圆(31)(高清),99,0.99,精彩点
10310,10371,20170919,那年花开月正圆(33)(高清),99,0.99,精彩点
10310,10371,20170919,那年花开月正圆(34)(高清),99,0.99,精彩点
10310,10371,20170919,那年花开月正圆(35)(高清),99,0.99,精彩点
10310,10371,20170919,那年花开月正圆(30)(高清),99,0.99,精彩点
10310,10371,20170919,那年花开月正圆(32)(高清),99,0.99,精彩点
10310,10371,20170923,【NEW】神偷奶爸3(高清)(失业格鲁回归坏蛋行列？),999,9.99,院线大片
10310,10371,20170923,那年花开月正圆(31)(高清),99,0.99,精彩点
10310,10371,20170923,那年花开月正圆(38)(高清),99,0.99,精彩点
10310,10371,20170923,那年花开月正圆(37)(高清),99,0.99,精彩点
10310,10371,20170923,那年花开月正圆(30)(高清),99,0.99,精彩点
10310,10371,20170924,那年花开月正圆(39)(高清),99,0.99,精彩点
10324,10788,20170910,白夜追凶(02)(高清),99,0.99,热门影视
10324,10788,20170911,白夜追凶(05)(高清),99,0.99,热门影视
10324,10788,20170911,白夜追凶(03)(高清),99,0.99,热门影视
10324,10788,20170911,白夜追凶(04)(高清),99,0.99,热门影视
10324,10788,20170914,白夜追凶(07)(高清),99,0.99,热门影视
10324,10788,20170914,白夜追凶(06)(高清),99,0.99,热门影视
10324,10788,20170918,白夜追凶(15)(高清),99,0.99,热门影视
10324,10788,20170923,白夜追凶(20)(高清),99,0.99,热门影视
10324,10788,20170929,白夜追凶(25)(高清),99,0.99,热门影视
10340,10758,20170924,他是龙(高清)(驯龙少女跨种族恋爱指南),499,4.99,精彩点
10340,10758,20170926,疯狂原始人(高清)(野人逗趣冒险记),499,4.99,精彩点
10340,10758,20170926,哆啦A梦 第一季(130)(高清),99,0.99,动漫剧场
10351,11135,20170831,【NEW】悟空传(高清)(彭于晏版悟空成暴走猴子),999,9.99,院线大片
10384,11215,20170703,夏至未至(27)(高清),99,0.99,精彩点
10384,11215,20170704,夏至未至(37)(高清),99,0.99,精彩点
10384,11215,20170802,我们的少年时代(38)(高清),99,0.99,精彩点
10384,11215,20170802,我们的少年时代(37)(高清),99,0.99,精彩点
10384,11215,20170802,我们的少年时代(39)(大结局)(高清),99,0.99,精彩点
10384,11215,20170811,浪花一朵朵(17)(高清),99,0.99,精彩点
10384,11215,20170811,浪花一朵朵(16)(高清),99,0.99,精彩点
10384,11215,20170812,08月05日 中餐厅：黄晓明再掀定价风波(高清),99,0.99,精彩点
10384,11215,20170823,浪花一朵朵(33)(高清),99,0.99,精彩点
10384,11215,20170823,浪花一朵朵(32)(高清),99,0.99,精彩点
10387,10312,20170713,变种章鲨(高清)(恐怖鲨鱼，肆意虐杀),499,4.99,精彩点
10395,10396,20170701,楚乔传(32)(高清),99,0.99,精彩点
10395,10396,20170701,大军师司马懿之军师联盟(03)(高清),99,0.99,精彩点
10395,10396,20170701,大军师司马懿之军师联盟(04)(高清),99,0.99,精彩点
10395,10396,20170701,大军师司马懿之军师联盟(01)(高清),99,0.99,精彩点
10395,10396,20170701,大军师司马懿之军师联盟(02)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(14)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(13)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(11)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(07)(高清),99,0.99,精彩点
10395,10396,20170702,左轮手枪(06)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(15)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(05)(高清),99,0.99,精彩点
10395,10396,20170702,红色通道(01)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(10)(高清),99,0.99,精彩点
10395,10396,20170702,反击(05)(高清),99,0.99,精彩点
10395,10396,20170702,美国司法(高清)(当权力变成绝对),499,4.99,精彩点
10395,10396,20170702,反击(03)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(06)(高清),99,0.99,精彩点
10395,10396,20170702,楚乔传(20)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(08)(高清),99,0.99,精彩点
10395,10396,20170702,反击(04)(高清),99,0.99,精彩点
10395,10396,20170702,大军师司马懿之军师联盟(12)(高清),99,0.99,精彩点
10395,10396,20170702,反击(04)(高清),99,0.99,精彩点
10395,10396,20170703,大军师司马懿之军师联盟(18)(高清),99,0.99,精彩点
10395,10396,20170703,大军师司马懿之军师联盟(20)(高清),99,0.99,精彩点
10395,10396,20170703,反击(08)(高清),99,0.99,精彩点
10395,10396,20170703,大军师司马懿之军师联盟(16)(高清),99,0.99,精彩点
10395,10396,20170703,反击(07)(高清),99,0.99,精彩点
10395,10396,20170703,大军师司马懿之军师联盟(19)(高清),99,0.99,精彩点
10395,10396,20170703,反击(06)(高清),99,0.99,精彩点
10395,10396,20170706,反击(09)(高清),99,0.99,精彩点
10395,10396,20170706,反击(10)(高清),99,0.99,精彩点
10395,10396,20170706,楚乔传(35)(高清),99,0.99,精彩点
10395,10396,20170706,卧底归来(19)(高清),99,0.99,精彩点
10395,10396,20170706,卧底归来(18)(高清),99,0.99,精彩点
10395,10396,20170706,反击(14)(高清),99,0.99,精彩点
10395,10396,20170706,楚乔传(36)(高清),99,0.99,精彩点
10395,10396,20170706,07月02日 花儿与少年 第三季：陈柏霖责任感爆棚(高清),99,0.99,精彩点
10395,10396,20170706,卧底归来(17)(高清),99,0.99,精彩点
10395,10396,20170706,反击(08)(高清),99,0.99,精彩点
10395,10396,20170707,反击(18)(高清),99,0.99,精彩点
10395,10396,20170707,反击(19)(高清),99,0.99,精彩点
10395,10396,20170707,反击(15)(高清),99,0.99,精彩点
10395,10396,20170707,反击(16)(高清),99,0.99,精彩点
10395,10396,20170707,反击(17)(高清),99,0.99,精彩点
10395,10396,20170710,大军师司马懿之军师联盟(28)(高清),99,0.99,精彩点
10395,10396,20170710,大军师司马懿之军师联盟(29)(高清),99,0.99,精彩点
10395,10396,20170822,【NEW】速度与激情8(高清)(雪地飙车，竞速潜艇),999,9.99,院线大片
10395,10396,20170916,【NEW】悟空传(高清)(彭于晏版悟空成暴走猴子),999,9.99,院线大片
10395,10396,20170916,女间谍(高清)(“火辣尤物”爆笑救场),999,9.99,院线大片
10395,10396,20170917,【NEW】新木乃伊(高清)(“黑暗宇宙”揭怪物序幕),999,9.99,院线大片
10395,10396,20170930,【NEW】心理罪(高清)(人性贪嗔痴，案情出人意料),999,9.99,院线大片
10395,10396,20170930,生活大爆炸 第八季(17)(高清),99,0.99,热门影视
10395,10396,20170930,生活大爆炸 第八季(16)(高清),99,0.99,热门影视
10395,10396,20170930,生活大爆炸 第八季(18)(高清),99,0.99,热门影视
10395,10396,20170930,生活大爆炸 第八季(15)(高清),99,0.99,热门影视
10396,10119,20170707,【NEW】血狼犬(高清)(狼犬大战震慑心灵),999,9.99,院线大片
10405,11105,20170811,深夜食堂(01)(高清),99,0.99,精彩点
10418,11058,20170811,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10418,11058,20170821,血狼犬(高清)(狼犬大战震慑心灵),999,9.99,院线大片
10420,10449,20170909,捷德奥特曼(08)(高清),99,0.99,动漫剧场
10420,10449,20170910,捷德奥特曼(05)(高清),99,0.99,动漫剧场
