用户号,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号
10154,互动电视,正常        ,20130825,140,月享套餐-30M-包月-89元-预存200,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20130825,20170801,20500101,11089
11315,互动电视,正常        ,20160112,0,乐惠套餐-25M-1年-1380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160112,20160112,20500101,10106
10417,互动电视,正常        ,20160301,0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20131229,20131229,20500101,11119
10490,互动电视,正常        ,20170522,0,,[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还)(资费),20130817,20130817,20500101,11327
11026,互动电视,正常        ,20160528,60,,互动59元包-600预存,互动59元包-600预存,20160528,20160528,20500101,11254
10918,互动电视,正常        ,20160302,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160302,20160302,20500101,10078
11318,互动电视,正常        ,20160204,0,乐惠套餐-20M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20160204,20170401,20500101,10096
11000,互动电视,正常        ,20160505,60,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160505,20160505,20500101,10075
10336,互动电视,正常        ,20131116,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131116,20131116,20500101,10573
11092,互动电视,正常        ,20160804,150,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160804,20160804,20500101,11065
10424,互动电视,正常        ,20150817,9.99,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20140106,20140106,20500101,10971
10425,互动电视,正常        ,20150817,0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20140106,20140106,20500101,11325
10226,互动电视,正常        ,20130918,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20130918,20130918,20500101,10962
10535,互动电视,正常        ,20140624,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140624,20150101,20500101,10430
11223,互动电视,正常        ,20140420,0,,互动600预存-捆快乐点2年,互动600预存-26.5元-捆快乐点2年,20140420,20140420,20500101,10450
11240,互动电视,正常        ,20140526,0,乐惠套餐-6M-1年-980,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140526,20140526,20500101,10804
10360,互动电视,正常        ,20131128,1,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131128,20131128,20500101,10369
10939,互动电视,正常        ,20160316,0,,互动59元包-600预存,互动59元包-600预存,20160316,20160316,20500101,10540
11003,互动电视,正常        ,20160509,60,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160509,20160509,20500101,11047
11059,互动电视,正常        ,20160622,90,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160622,20160622,20500101,10655
10068,互动电视,正常        ,20130722,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130722,20130722,20500101,10654
10158,互动电视,正常        ,20130826,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130826,20130826,20500101,10089
11131,互动电视,正常        ,20161026,210,,互动59元包-600预存,互动59元包-600预存,20161026,20161026,20500101,10972
10704,互动电视,正常        ,20161124,0,,互动标准包,互动标准包-包月-26.5元,20150828,20161101,20500101,11290
11181,互动电视,正常        ,20160629,90,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160629,20160629,20500101,10709
10640,互动电视,正常        ,20170927,0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150402,20150402,20500101,10908
10492,互动电视,正常        ,20160929,0,,[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还)(资费),20130824,20130824,20500101,10085
10880,互动电视,正常        ,20160203,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160203,20160203,20500101,11145
10200,互动电视,正常        ,20131020,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130908,20130908,20500101,10739
10998,互动电视,正常        ,20160504,85,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160504,20160504,20500101,10407
10638,互动电视,正常        ,20150330,0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150330,20150330,20500101,10917
11110,互动电视,正常        ,20170722,180,乐惠套餐-8M-包月-69元-预存600元,互动+联合宽带-49元-月享,互动+联合宽带-49元-月享,20160922,20160922,20500101,10681
11106,互动电视,正常        ,20160921,180,,互动59元包-600预存,互动59元包-600预存,20160921,20160921,20500101,11117
11253,互动电视,正常        ,20140625,0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140625,20140625,20500101,10964
11314,互动电视,正常        ,20170716,150,乐惠套餐-25M-包月-109元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160109,20160109,20500101,10140
10402,互动电视,正常        ,20131227,0,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131227,20131227,20500101,11155
10445,互动电视,正常        ,20171020,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20140115,20140115,20500101,10259
10129,互动电视,正常        ,20130809,0,,互动49元包,互动49元包,20130809,20151001,20500101,11001
10560,互动电视,正常        ,20170423,0,,互动标准包-600购机-送快乐点2年-12M体验,互动600购机-26.5元-送快乐点2年-送12M体验,20141124,20141124,20500101,10841
10332,互动电视,正常        ,20131115,360,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131115,20131115,20500101,11267
11091,互动电视,正常        ,20160804,160,乐惠套餐-25M-包月-109元-预存600元-赠送360元分36个月返还,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160804,20160804,20500101,11169
11285,互动电视,正常        ,20141109,0,乐惠套餐-12M-3年-2180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20140905,20140905,20500101,10048
10346,互动电视,正常        ,20131123,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131123,20150101,20500101,10700
10345,互动电视,正常        ,20131123,16.09,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131123,20131123,20500101,10485
10574,互动电视,正常        ,20141217,0,乐惠套餐-12M-1年-1180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-380购机,20141217,20141217,20500101,10885
10102,互动电视,正常        ,20171029,0,月享套餐-30M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20130728,20170901,20500101,10136
10448,互动电视,正常        ,20140117,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20140117,20140117,20500101,11152
10629,互动电视,正常        ,20150214,0,乐惠套餐-15M-1年-1180元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150214,20150214,20500101,10902
10617,互动电视,正常        ,20150203,0,,互动标准包-600预存-送快乐点2年(到期停)-送15M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20150203,20150203,20500101,10819
11123,互动电视,正常        ,20161017,59,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161017,20161017,20500101,10041
10533,互动电视,正常        ,20140612,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140612,20140612,20500101,10098
11206,互动电视,正常        ,20160305,0,,互动标准包,互动标准包-包月-26.5元,20160305,20170401,20500101,11266
10687,互动电视,正常        ,20150804,0,,互动59元包-480预存,互动59元包,20150804,20150804,20500101,11076
10259,互动电视,正常        ,20131019,0,6M融合套餐1(互动+宽带),互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130928,20150101,20500101,10506
10260,互动电视,正常        ,20131019,0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20130928,20130928,20500101,10671
11251,互动电视,正常        ,20140624,0,乐惠套餐-12M-1年-1180,互动+联合宽带-380购机,互动+联合宽带-包月-26.5元-380购机,20140624,20140624,20500101,10205
11216,互动电视,正常        ,20140328,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20101121,20160323,20500101,10495
10001,互动电视,正常        ,20120119,0,乐惠套餐-15M-3年-2080元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20060907,20150302,20500101,10922
10759,互动电视,正常        ,20151128,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20151128,20151128,20500101,10221
11200,互动电视,正常        ,20151021,0,月享套餐-30M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20141020,20171001,20500101,10818
10718,互动电视,正常        ,20170824,0,,互动49元包-200预存-捆直播108+高清英超1年,互动49元包-200预存-捆直播108+高清英超1年,20150917,20150917,20500101,10657
10015,互动电视,正常        ,20140816,0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20070925,20140713,20500101,10129
10510,互动电视,正常        ,20121120,0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20070926,20121227,20500101,10367
10036,互动电视,正常        ,20120604,178.75,,优惠购机一(499元)(26.5元/月),优惠购机一(499元)(26.5元/月)(资费),20120604,20120604,20500101,11178
10779,互动电视,正常        ,20151228,0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20151228,20151228,20500101,11118
10904,互动电视,正常        ,20170920,66.98,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160222,20160222,20500101,11200
10666,互动电视,正常        ,20150722,0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150629,20150629,20500101,10064
11075,互动电视,正常        ,20160714,1382.51,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160714,20160714,20500101,10013
11076,互动电视,正常        ,20160714,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20160714,20160714,20500101,11233
10776,互动电视,正常        ,20151214,0,乐惠套餐-30M-包月-109元,互动+联合宽带-69元包-月享,互动+联合宽带-69元包-17年月享,20151214,20170401,20500101,10557
10610,互动电视,正常        ,20160226,0,乐惠套餐-15M-1年-1180元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150119,20150119,20500101,10822
10848,互动电视,正常        ,20160127,0,,互动59元包-600预存,互动59元包-600预存,20160127,20160127,20500101,11106
10874,互动电视,正常        ,20160201,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20160201,20160201,20500101,10368
10873,互动电视,正常        ,20160201,0,,互动59元包-600预存,互动59元包-600预存,20160201,20160201,20500101,11087
10813,互动电视,正常        ,20160113,0,乐惠套餐-25M-2年-2080元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160113,20160113,20500101,11052
10983,互动电视,正常        ,20160421,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160421,20160421,20500101,10263
10302,互动电视,正常        ,20131027,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131027,20131027,20500101,11100
10486,互动电视,正常        ,20140306,0,,互动标准包-600预存-送快乐点2年(到期停)-送15M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140306,20140306,20500101,10979
10540,互动电视,正常        ,20140805,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140805,20150101,20500101,10363
10684,互动电视,正常        ,20151117,0,乐惠套餐-15M-3年-2180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150806,20150806,20500101,11088
10522,互动电视,正常        ,20160405,89,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160405,20160405,20500101,10653
10373,互动电视,正常        ,20131206,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131206,20131206,20500101,10185
11073,互动电视,正常        ,20160706,120,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160706,20160706,20500101,10984
10618,互动电视,正常        ,20150203,0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150203,20150203,20500101,10899
10619,互动电视,正常        ,20150203,0,,互动标准包-388购机-送12M体验,[互动]优惠购机(388元)(26.5元/月)(资费),20150203,20150203,20500101,10898
10569,互动电视,正常        ,20161124,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20141208,20150101,20500101,10854
10570,互动电视,正常        ,20161124,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20141208,20150101,20500101,10862
11220,互动电视,正常        ,20161123,12.51,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130605,20130605,20500101,10299
10974,互动电视,正常        ,20160408,292,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160408,20160408,20500101,10398
10247,互动电视,正常        ,20130924,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130924,20130924,20500101,11175
10020,互动电视,正常        ,20090125,0,6M融合套餐2(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20070908,20131103,20500101,11008
11038,互动电视,正常        ,20160606,90,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160606,20160606,20500101,10415
10746,互动电视,正常        ,20151103,0,,互动59元包-480预存,互动59元包,20151103,20151103,20500101,10184
10534,互动电视,正常        ,20171031,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140618,20140618,20500101,10807
11101,互动电视,正常        ,20160916,180,,互动59元包-600预存,互动59元包-600预存,20160916,20160916,20500101,11002
10106,互动电视,正常        ,20130823,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130730,20130730,20500101,10399
10204,互动电视,正常        ,20171030,180.63,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130913,20130913,20500101,10992
10205,互动电视,正常        ,20171030,100,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,11269
10615,互动电视,正常        ,20150202,107.13,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20150202,20150202,20500101,10828
10473,互动电视,正常        ,20140129,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20140129,20140129,20500101,10800
10353,互动电视,正常        ,20131127,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131127,20131127,20500101,11161
10096,互动电视,正常        ,20130721,146.25,,互动59元包,互动59元包,20130721,20150801,20500101,10335
11196,互动电视,正常        ,20140607,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140607,20140607,20500101,10864
10416,互动电视,正常        ,20170307,124.01,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131229,20131229,20500101,11016
10287,互动电视,正常        ,20131023,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131023,20131023,20500101,10301
10898,互动电视,正常        ,20160215,0,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160215,20160215,20500101,11003
10506,互动电视,正常        ,20140405,0,[互动+宽带]6M融合套餐(980),[互动+宽带]互动标准套餐(26.5元)—280购机入网,互动+联合宽带-包月-26.5元-280购机,20140405,20140405,20301231,11312
11270,互动电视,正常        ,20140726,0,,互动600预存-捆快乐点2年,互动600预存-26.5元-捆快乐点2年,20140726,20140726,20500101,11276
10056,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10352,互动电视,正常        ,20131127,375,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131127,20131127,20500101,11272
10772,互动电视,正常        ,20151212,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20151212,20151212,20500101,11090
10730,互动电视,正常        ,20150930,237,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动标准包,互动标准包-包月-26.5元,20150930,20171101,20500101,11150
11279,互动电视,正常        ,20140823,0,,互动600预存-捆快乐点2年,互动600预存-26.5元-捆快乐点2年,20140823,20140823,20500101,10384
10950,互动电视,正常        ,20170924,0,,互动59元包-600预存,互动59元包-600预存,20160322,20160322,20500101,11149
10273,互动电视,正常        ,20131016,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131016,20131016,20500101,11218
10551,互动电视,正常        ,20160122,100,乐惠套餐-12M-3年-2180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20141108,20141108,20500101,10837
10701,互动电视,正常        ,20160421,0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150825,20150825,20500101,10948
10455,互动电视,正常        ,20170224,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140120,20150101,20500101,11030
10456,互动电视,正常        ,20170224,15,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140120,20150101,20500101,10344
10454,互动电视,正常        ,20170223,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20140120,20140120,20500101,10429
10459,互动电视,正常        ,20161122,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140120,20150101,20500101,11074
10458,互动电视,正常        ,20161122,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140120,20150101,20500101,10796
10457,互动电视,正常        ,20161122,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20140120,20140120,20500101,10497
11298,互动电视,正常        ,20141002,0,,互动600预存-捆快乐点2年,互动600预存-26.5元-捆快乐点2年,20141002,20141002,20500101,10563
10663,互动电视,正常        ,20150624,0,乐惠套餐-10M-1年-1080元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150624,20150624,20500101,10966
10071,互动电视,正常        ,20130706,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130706,20130706,20500101,10498
10504,互动电视,正常        ,20140404,0,[互动+宽带]6M融合套餐(980),[互动+宽带]互动标准套餐(26.5元)—280购机入网,互动+联合宽带-包月-26.5元-280购机,20140404,20140404,20301231,11286
10550,互动电视,正常        ,20171101,1086.5,乐惠套餐-12M-3年-2180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20141106,20141106,20500101,10835
10703,互动电视,正常        ,20150826,0,,互动59元包-480预存,互动59元包,20150826,20150826,20500101,10229
