R61031,R73704
R35836,R58053
R69132,R81971
R93929,R68554
R58878,R52483
R91889,R83652
R89974,R14168
R84583,R56847
R18654,R37250
R78692,R91056
R81411,R76423
R28180,R12573
R35638,R47775
R39741,R50050
R67247,R36101
R56525,R79455
R68914,R74329
R13652,R82188
R28188,R49089
R48483,R98041
R94409,R70771
R55827,R37605
R60595,R91116
R81551,R31664
R63119,R79704
R38166,R27881
R71185,R90030
R99180,R12841
R40288,R99051
R75792,R87148
R12695,R32589
R14951,R45976
R11038,R65023
R20679,R77540
R20608,R62047
R72549,R85006
R36652,R93119
R54989,R54178
R71183,R57015
R36122,R69383
R50456,R25708
R80719,R73038
R15238,R14063
R50268,R27420
R70314,R41156
R96774,R41718
R47130,R19730
R69987,R84948
R84810,R63867
R28732,R66862
R85030,R46231
R19933,R96714
R31440,R63495
R54068,R75222
R25742,R41554
R18992,R52126
R63605,R85155
R17346,R14725
R95039,R72797
R16139,R86017
R80623,R86486
R50652,R28737
R96840,R25295
R92377,R26014
R60809,R53367
R67415,R27442
R36082,R74625
R67236,R46150
R72261,R20634
R25564,R81041
R66146,R70816
R74463,R81827
R52288,R22497
R39222,R33156
R76016,R49488
R98721,R41738
R98123,R53858
R57970,R92502
R36582,R37046
R93797,R28977
R36855,R25173
R42322,R63066
R30984,R22050
R69124,R59230
R78872,R66328
R75883,R20815
R54297,R97422
R76892,R85370
R38743,R19400
R76934,R18573
R90888,R86893
R73745,R87803
R25615,R59819
R26030,R81660
R31322,R67229
R14117,R33447
R21639,R62658
R25353,R18011
R40659,R47403
R40690,R12548
R93862,R59732
R84765,R84366
R83126,R18264
R22903,R93079
R62958,R67174
R37903,R71884
R98663,R93754
R23114,R95473
R59052,R94402
R59218,R29878
R49753,R93488
R52486,R42895
R40931,R42172
R19795,R25235
R78415,R29664
R36263,R46006
R85173,R59573
R47982,R14936
R58051,R14681
R90198,R71654
R74908,R85057
R40311,R97054
R63655,R85561
R23361,R77619
R42439,R62911
R93915,R83290
R87929,R51571
R69895,R90363
R18053,R32859
R15287,R37907
R83018,R21460
R12528,R95956
R36860,R93842
R10204,R71914
R66686,R51735
R56384,R70275
R71081,R69982
R48925,R56994
R41054,R41024
R70970,R55377
R11635,R89945
R42280,R19725
R40188,R65358
R50316,R42094
R65519,R16140
R15518,R56361
R77560,R65659
R98317,R87113
R52356,R72935
R80879,R26284
R25308,R98979
R50607,R31323
R96760,R32166
R11058,R60072
R49429,R97762
R35561,R88844
R89527,R64196
R67000,R25787
R69409,R17558
R46069,R35207
R14994,R55274
R23508,R88520
R84639,R24022
R80999,R79117
R39306,R51305
R62696,R13706
R49588,R83051
R53755,R12519
R45692,R32568
R69486,R43302
R28705,R83966
R88420,R36998
R73821,R87733
R82375,R62928
R38418,R98848
R50935,R28079
R83581,R65577
R15123,R19235
R54602,R43104
R18260,R80084
R18665,R88194
R37263,R92271
R43944,R72620
R91192,R69096
R92607,R72750
R29135,R61163
R19561,R31559
R43750,R85926
R42318,R20076
R33840,R36258
R96818,R33221
R13854,R75550
R51757,R14492
R84182,R30732
R62313,R81233
R73767,R24284
R15117,R63736
R59712,R14624
R93638,R75358
R80721,R73262
R57542,R89763
R84175,R57734
R60931,R92944
R91638,R57048
R76991,R21768
R12129,R77894
R77779,R42583
R52797,R34094
R24656,R77165
R17715,R35109
R15323,R67811
R44327,R68818
R33620,R37664
R82264,R14551
R34505,R56634
R86296,R59480
R21078,R16567
R25205,R16359
R78291,R39615
R86464,R15426
R73751,R24915
R44472,R16676
R42836,R13324
R20501,R15609
R63222,R95045
R90318,R10396
R75455,R78358
R58802,R99156
R50727,R18509
R85654,R44114
R86042,R83632
R40808,R45661
R55941,R27477
R66743,R66545
R39089,R33943
R13465,R88436
R67551,R39989
R55853,R60632
R61260,R95577
R79767,R77845
R63489,R19907
R94213,R73329
R14870,R35184
R31678,R71090
R93320,R97682
R52958,R47529
R90530,R89311
R25968,R14441
R27528,R50762
R36313,R71164
R91208,R59196
R64447,R36509
R72202,R85459
R87745,R88695
R33810,R68970
R77010,R87818
R17215,R82814
R72221,R56398
R43947,R23281
R54910,R63324
R29996,R55959
R58812,R72700
R56699,R91029
R14748,R34199
R34543,R98019
R55755,R64321
R12203,R21052
R66938,R82355
R10942,R77084
R56854,R91018
R17039,R41268
R35176,R74112
R96089,R40897
R83488,R74884
R93671,R15277
R37396,R47273
R80985,R54467
R49231,R29154
R74730,R58874
R97524,R66336
R81889,R84398
R77981,R82124
R52395,R70176
R23902,R76312
R51205,R42441
R23485,R45346
R14403,R33474
R94087,R63347
R28870,R82907
R26263,R28535
R38811,R21045
R47777,R37426
R70707,R60303
R56221,R87605
R10085,R15163
R84845,R81693
R35087,R99627
R38306,R92272
R87441,R56385
R38119,R59698
R73192,R17868
R72969,R58448
R10381,R36554
R78143,R31442
R19583,R97513
R31134,R22559
R51470,R72703
R56976,R83982
R54206,R52570
R30361,R67589
R73714,R11268
R95385,R56165
R53837,R73621
R24222,R50889
R23991,R93612
R15391,R37209
R79165,R64662
R80456,R83833
R48486,R88703
R16756,R11836
R19989,R95672
R48049,R56097
R55541,R39509
R32014,R18187
R98800,R95366
R50279,R48686
R90884,R14984
R57945,R17843
R41453,R81680
R38041,R32212
R68788,R21471
R31136,R56118
R23004,R76516
R66412,R89839
R68978,R78249
R90174,R62674
R21369,R91614
R42277,R38464
R79851,R13078
R56888,R67096
R16602,R38590
R87703,R27780
R87326,R47769
R36105,R39904
R82861,R47059
R29160,R16924
R87952,R39129
R54268,R36956
R55890,R44526
R65419,R27151
R57478,R72373
R15358,R46968
R77952,R64983
R49933,R21328
R61681,R47122
R63970,R58915
R79878,R95769
R16354,R82427
R14204,R34462
R18742,R92679
R36997,R81674
R57468,R65512
R62087,R77994
R33345,R14925
R99857,R11324
R28020,R24433
R54976,R20149
R64300,R19119
R95328,R70081
R29811,R56787
R58369,R24701
R86355,R42481
R22928,R61339
R75768,R72443
R17839,R86276
R59191,R10667
R50538,R74575
R78448,R14741
R50781,R62789
R98953,R66717
R87255,R67425
R97377,R17837
R70334,R10752
R50263,R27941
R99466,R67712
R62479,R38942
R22593,R69574
R79988,R88070
R10270,R52927
R97151,R40021
R84833,R95958
R96901,R19949
R16939,R38457
R43825,R58658
R48462,R48380
R78314,R53172
R13450,R64127
R45720,R26083
R89574,R74064
R41023,R73658
R13642,R16164
R99240,R38609
R84172,R43099
R78437,R92990
R79206,R33527
R65024,R13893
R45469,R12164
R67070,R46383
R18046,R28371
R36716,R49445
R95345,R44469
R44075,R15555
R51550,R17028
R50434,R81866
R88757,R10464
R92605,R70925
R64939,R28781
R66610,R99871
R71442,R32720
R67442,R77855
R12038,R31839
R76997,R89765
R48030,R29137
R42180,R17904
R96095,R50714
R66996,R30987
R84305,R13484
R91024,R77460
R90375,R13154
R30707,R88291
R79842,R19004
R56973,R98631
R59864,R93950
R37261,R37925
R58093,R74833
R84712,R15529
R13738,R86622
R59907,R44559
R59432,R47814
R71928,R48036
R90435,R11939
R82456,R17491
R31897,R88672
R21139,R89733
R96868,R29369
R54301,R93332
R71439,R66570
R83268,R81704
R11338,R52964
R86667,R70602
R41042,R15509
R64826,R98569
R48171,R57334
R62259,R17546
R72609,R96222
R20892,R35042
R72984,R62062
R97122,R53842
R60585,R38960
R17350,R94149
R63513,R73010
R89802,R60520
R64448,R50276
R87824,R47028
R16243,R20136
R91270,R55649
R33072,R72526
R67119,R79000
R23669,R90156
R86254,R20859
R36673,R11981
R81897,R61607
R74846,R69453
R41522,R96828
R31251,R81775
R53270,R82004
R16490,R10208
R91972,R17911
R60209,R64329
R70537,R97162
R87101,R60457
R75242,R36077
R78725,R50926
R21499,R34311
R88028,R32451
R32033,R14512
R31108,R48233
R29414,R88068
R67607,R37220
R21566,R79175
R78483,R33574
R46094,R74973
R66983,R53055
R68226,R22027
R12818,R91314
R63967,R74600
R19022,R90432
R31343,R62749
R97298,R42470
R75737,R66209
R79207,R10428
R90062,R68811
R36934,R24699
R10199,R60715
R69693,R63593
R80494,R97010
R22832,R26886
R53694,R15121
R71205,R42791
R40234,R92841
R26925,R19994
R22531,R61900
R30577,R95101
R17456,R11237
R53904,R41727
R12832,R26380
R88749,R10730
R19483,R80813
R81781,R92280
R58539,R84695
R87126,R42825
R48574,R89220
R75690,R20542
R89786,R88572
R49621,R57884
R11412,R39868
R71499,R56892
R24432,R28391
R78215,R53775
R51578,R10107
R77574,R24424
R39456,R33671
R73467,R68746
R85788,R41685
R15996,R95611
R56254,R74907
R55794,R56726
R55921,R67078
R35336,R40469
R49614,R90901
R62311,R53978
R37265,R17033
R37889,R15171
R82416,R67230
R63847,R20190
R24548,R23207
R95315,R87319
R87615,R85591
R25963,R20206
R81573,R52044
R82431,R36698
R62643,R89464
R34948,R82510
R93961,R23228
R44194,R90931
R94796,R25112
R40121,R59075
R68556,R93497
R35835,R22951
R65046,R90985
R74527,R24484
R85839,R70735
R36385,R58251
R80392,R47005
R85214,R56455
R13461,R66608
R58753,R64063
R35415,R31445
R73720,R24782
R80149,R63910
R49178,R14354
R52359,R55468
R31961,R13694
R35474,R10843
R89991,R30699
R13091,R79082
R92685,R58385
R84949,R66832
R73129,R16903
R59073,R66530
R97141,R86646
R62821,R98142
R27418,R39446
R45942,R78758
R93628,R86506
R49627,R65750
R52518,R18222
R68310,R14871
R91336,R85088
R17393,R53280
R48192,R36722
R28873,R86066
R66868,R62603
R29482,R99067
R92923,R93513
R61066,R43390
R28386,R65458
R80183,R43153
R95247,R35458
R36087,R83140
R56519,R63040
R89449,R79223
R25525,R87244
R18810,R25870
R87270,R63531
R80057,R87000
R42510,R13270
R62852,R89575
R53218,R77929
R92453,R23539
R96115,R10022
R70676,R70380
R16582,R48539
R19398,R76042
R41070,R20144
R72119,R71854
R25983,R25471
R37163,R75563
R69147,R82140
R12141,R26723
R47948,R14817
R82546,R67028
R30488,R91622
R84448,R29257
R49995,R90976
R49527,R77151
R76163,R70740
R61557,R95976
R50344,R83529
R24064,R97590
R23280,R51174
R35874,R38197
R73039,R71236
R58014,R34918
R38426,R20429
R13114,R88264
R85001,R66929
R41195,R28884
R63161,R53200
R46239,R55370
R33202,R44093
R78498,R64507
R80542,R76149
R44761,R11051
R22713,R35030
R47755,R77146
R72834,R27287
R22829,R57440
R90069,R80765
R85279,R91603
R10358,R78484
R72362,R82660
R12306,R45415
R54391,R20910
R74156,R51665
R36152,R30232
R35957,R73558
R35991,R66515
R87637,R13861
R49690,R58190
R76125,R45816
R46969,R50895
R25034,R86463
R35583,R29190
R64559,R72327
R18246,R49453
R35289,R90477
R54195,R69724
R51770,R82241
R10329,R74584
R43141,R37259
R34028,R46976
R63850,R37092
R57917,R67555
R12587,R92373
R15146,R99009
R85552,R86902
R82299,R71672
R19929,R60923
R85984,R20614
R84862,R24494
R20382,R34908
R41949,R25437
R77685,R80492
R83444,R19493
R83768,R91528
R27432,R88497
R53824,R55433
R84067,R14105
R26998,R82476
R13007,R70196
R10092,R72461
R90538,R34852
R90492,R74933
R82518,R66322
R15260,R82459
R39233,R61111
R69662,R20219
R16223,R53019
R20169,R51563
R47909,R29222
R39388,R12117
R98109,R36202
R58724,R39705
R66131,R29994
R34717,R69862
R77453,R66836
R66812,R81014
R60614,R20898
R87987,R82991
R93993,R21674
R85697,R90406
R24989,R85409
R11230,R74000
R38080,R18079
R17494,R77623
R55937,R97865
R78598,R12705
R67919,R18310
R14703,R13339
R29095,R78695
R88329,R13276
R83967,R62950
R14142,R58074
R93034,R71984
R65698,R45826
R30252,R47268
R52129,R70096
R23136,R32170
R57590,R59968
R56642,R68518
R57147,R85866
R61215,R54957
R23264,R53942
R86816,R95599
R61289,R15906
R32172,R77250
R80596,R59530
R47121,R26706
R85311,R51002
R91723,R17392
R47308,R11769
R29549,R76249
R30402,R16626
R92515,R63955
R55589,R19491
R42407,R43627
R27747,R98518
R97766,R46557
R32655,R45772
R40844,R83644
R29093,R17191
R32135,R60413
R71519,R43942
R72531,R97320
R53318,R76139
R75898,R58262
R29723,R96776
R61516,R93759
R10544,R18110
R32048,R17640
R45794,R24933
R37469,R50010
R81795,R56211
R18324,R94148
R86184,R23147
R18846,R36955
R61573,R56901
R79366,R77674
R95874,R36594
R44412,R99322
R31356,R29407
R50047,R42020
R81011,R87975
R24057,R29560
R99719,R32194
R86914,R49332
R35090,R42358
R16178,R81219
R51560,R75921
R51131,R34821
R17037,R66748
R62256,R62173
R85698,R97569
R25004,R49162
R39361,R62061
R18704,R18387
R12623,R37721
R89423,R30884
R46814,R38375
R57871,R45322
R91588,R96366
R64380,R14963
R83872,R25003
R99944,R26033
R89463,R54438
R34395,R41146
R85501,R84526
R49103,R56625
R37067,R93373
R40595,R58471
R51667,R28581
R14200,R52931
R66837,R76751
R32141,R40085
R39753,R17833
R80328,R66065
R57458,R58721
R10083,R60340
R46186,R99474
R93784,R24101
R21588,R86170
R56302,R27903
R99524,R43686
R57416,R99658
R47082,R32850
R85735,R23686
R55706,R51292
R40205,R79928
R48644,R39691
R38021,R69658
R14258,R68112
R96264,R71243
R81082,R62935
R98530,R42965
R46870,R61598
R28761,R64008
R96684,R79385
R80893,R31495
R25621,R61347
R28465,R18337
R10793,R33196
R13924,R95288
R86290,R73693
R17017,R53056
R79697,R14033
R30201,R73417
R57359,R58900
R19657,R25771
R94882,R95212
R55261,R82749
R19828,R27801
R68387,R15943
R63310,R45546
R92567,R85359
R46254,R77514
R10138,R92465
R99004,R52660
R93316,R58482
R29635,R54185
R39323,R60038
R17637,R45049
R84808,R29974
R39052,R95830
R69428,R33779
R15125,R63299
R13562,R85086
R33236,R74593
R17149,R13526
R10656,R19473
R95928,R93044
R81212,R60510
R94207,R59850
R17795,R99989
R34952,R56321
R55046,R69716
R24984,R66139
R52282,R41450
R50915,R88843
R29882,R71425
R83030,R44388
R49793,R29738
R84273,R40545
R94578,R84049
R91207,R23005
R79401,R89083
R71316,R70864
R21275,R28595
R75371,R45244
R88660,R72593
R13640,R68433
R92931,R97451
R58800,R84422
R48892,R37131
R22065,R35756
R56852,R61936
R78533,R16993
R28046,R53602
R27309,R44375
R22385,R38546
R46883,R30089
R74746,R71843
R47520,R70394
R23066,R38102
R59915,R49755
R74970,R15022
R79660,R63478
R62387,R57530
R61755,R95727
R17547,R56214
R21725,R83878
R13269,R90537
R52524,R66876
R33109,R19088
R28417,R61514
R75859,R87603
R13220,R75234
R85356,R69406
R15966,R41626
R30408,R94731
R91057,R59234
R51160,R74737
R73682,R34909
R82280,R78414
R75926,R28990
R74697,R62050
R16166,R98944
R35682,R93340
R51826,R75685
R70683,R98134
R60285,R90202
R77957,R79992
R64593,R49504
R96909,R26629
R96503,R79344
R66592,R45157
R81770,R39686
R26485,R59979
R24663,R24414
R10194,R24686
R91325,R86209
R77768,R11093
R60073,R18098
R99088,R45694
R78245,R62094
R28193,R36933
R32501,R68509
R38459,R26027
R15336,R69988
R26585,R81221
R26864,R75039
R50925,R41053
R62348,R92949
R55820,R34853
R77088,R41065
R60200,R40477
R59201,R95758
R52219,R41210
R90702,R47950
R45705,R42052
R57013,R49603
R16593,R73179
R56719,R89254
R52505,R49472
R70094,R69848
R47295,R18165
R23478,R50525
R30496,R46606
R57860,R37020
R52666,R23868
R72849,R65185
R98729,R35140
R93144,R77577
R94382,R30698
R44023,R12746
R75154,R93326
R10226,R23062
R52105,R63195
R39790,R96033
R84494,R71238
R51162,R11000
R42680,R23652
R53476,R53586
R14989,R83564
R60507,R47710
R15516,R73929
R39069,R96480
R54072,R79080
R60342,R25558
R48443,R51681
R84001,R16365
R52189,R93753
R87093,R96435
R90608,R20667
R15038,R93443
R98479,R19264
R57283,R58875
R24249,R27594
R84548,R81595
R85517,R38397
R76437,R77597
R19302,R53210
R48101,R23351
R81378,R70001
R17453,R50187
R35741,R85306
R39776,R18025
R45143,R21957
R88120,R94568
R61282,R40193
R25311,R65258
R53976,R53047
R99143,R38482
R32387,R24236
R65707,R48154
R47562,R23658
R72911,R41889
R25014,R61588
R49324,R66606
R44183,R57035
R10915,R22699
R58294,R33974
R87186,R10967
R54003,R97368
R50391,R49463
R59326,R63918
R84082,R94583
R12252,R50932
R79478,R23944
R98876,R25333
R83052,R47816
R54686,R81358
R96455,R78850
R40258,R98325
R90700,R69742
R41847,R62504
R93191,R29145
R43426,R70118
R47420,R98286
R86728,R66534
R77169,R59300
R96880,R90350
R70983,R65973
R60194,R40657
R11680,R67858
R85477,R87081
R98512,R23735
R33154,R79545
R76659,R34373
R16375,R19508
R89014,R76801
R68684,R78741
R15571,R52972
R24084,R27729
R79672,R87104
R29591,R90089
R82452,R63670
R89093,R34603
R66464,R44664
R41904,R14840
R41973,R77996
R54223,R34343
R66463,R95340
R41935,R38020
R32332,R67460
R94393,R23691
R70790,R73996
R76290,R97764
R84147,R30038
R27242,R51819
R59647,R65815
R32982,R39364
R74504,R85023
R61363,R86298
R11888,R68199
R20788,R13213
R75717,R10361
R37550,R43357
R33941,R83837
R47780,R20395
R67536,R78867
R22637,R46032
R19062,R94565
R37767,R45658
R28830,R87601
R70909,R72972
R68301,R65130
R28108,R57899
R29589,R26816
R14495,R38467
R53327,R32598
R10219,R82694
R60704,R73064
R77339,R32883
R52723,R37587
R78089,R52669
R68189,R91883
R89946,R99057
R49466,R60252
R89530,R95556
R65469,R76865
R49945,R88098
R25368,R90955
R22553,R16401
R85648,R11387
R87933,R75075
R97750,R36726
R11706,R70959
R79867,R91643
R37856,R73191
R14277,R37404
R20662,R68048
R87585,R99085
R40497,R48525
R56448,R43047
R76209,R65089
R86283,R15410
R93649,R73483
R63149,R84818
R40526,R23631
R60996,R82700
R50223,R50857
R91565,R58571
R61783,R84468
R42917,R18384
R38579,R97278
R94838,R18272
R65692,R68472
R83055,R30280
R69897,R48472
R86770,R49969
R31606,R51087
R16173,R17870
R47091,R52369
R57539,R75037
R21721,R42881
R42115,R54225
R78963,R42685
R22438,R49861
R38134,R25573
R88615,R85784
R19707,R36677
R80537,R57926
R17644,R14760
R93333,R46693
R17086,R13756
R28793,R63498
R59404,R84373
R74615,R36406
R58199,R45586
R84796,R20779
R96361,R11896
R83780,R77817
R48769,R87414
R16668,R42646
R80472,R30381
R22231,R93563
R72983,R52300
R20399,R32957
R98281,R61036
R30635,R42258
R66620,R41948
R52224,R83965
R18240,R34120
R87702,R93327
R35454,R74479
R40295,R75262
R21829,R76441
R82950,R72720
R53447,R94177
R75824,R82058
R43278,R12111
R83633,R83044
R85222,R67483
R15178,R91711
R87881,R26187
R32498,R60184
R30118,R60432
R29014,R29884
R45165,R71543
R45855,R82133
R90539,R63431
R34622,R42475
R80940,R12601
R82478,R72884
R21339,R11759
R50506,R79210
R27329,R35215
R49192,R41624
R57918,R36130
R44448,R84159
R66623,R28204
R88733,R20837
R30158,R22596
R55697,R29421
R10216,R81756
R30160,R39908
R41362,R39930
R46773,R54383
R20488,R91636
R53739,R69778
R87048,R83566
R23064,R56676
R69378,R83468
R52916,R43280
R30837,R42206
R77765,R98639
R41344,R36264
R99186,R55518
R21642,R60630
R53738,R40058
R94275,R71294
R88790,R39913
R52291,R42886
R95071,R14120
R10005,R76944
R96332,R37201
R70852,R28610
R30581,R43120
R35016,R26929
R78350,R53789
R20240,R62805
R31432,R58226
R36488,R88526
R64970,R56458
R83972,R73438
R36966,R94762
R19954,R95945
R23241,R94707
R88935,R72885
R11996,R55800
R34981,R56545
R62526,R57055
R82552,R89027
R19748,R75411
R33262,R63752
R58284,R14167
R38624,R94160
R96876,R70237
R15020,R62271
R21733,R52712
R53944,R95959
R73097,R72027
R75272,R65529
R69065,R56537
R15969,R76468
R48454,R58450
R24395,R73865
R85226,R45704
R11743,R97559
R77351,R35560
R14401,R91649
R83791,R94659
R31460,R62350
R26682,R89153
R22709,R29395
R85443,R70789
R51279,R90220
R88231,R41417
R80501,R13159
R30697,R55339
R53339,R11868
R89209,R86453
R93519,R32204
R65608,R67208
R39657,R57002
R47203,R58577
R57068,R46704
R68146,R46174
R24587,R71479
R81397,R81869
R84390,R37122
R96947,R72243
R17224,R45206
R40732,R44397
R15542,R16197
R10550,R35631
R30292,R36261
R96337,R65549
R80561,R71641
R19176,R31246
R73990,R94791
R46137,R12461
R11502,R80899
R55400,R62952
R24520,R27284
R90658,R44534
R69449,R95152
R25993,R62804
R48476,R72950
R60825,R58806
R27702,R31652
R84573,R48582
R38154,R67669
R52417,R65575
R19615,R19218
R48856,R39320
R33473,R49897
R99078,R85047
R98881,R39759
R83754,R87764
R36678,R84706
R66532,R44282
R93491,R80784
R32112,R25932
R13796,R60375
R38160,R11987
R88950,R31523
R89047,R79200
R57348,R79162
R97523,R85941
R77555,R30030
R58670,R84914
R52194,R26045
R59143,R90818
R44993,R82932
R98104,R89648
R42938,R14991
R28114,R22142
R49006,R75783
R12124,R99498
R46072,R24564
R79667,R23513
R58157,R61247
R37904,R51564
R38189,R41519
R30303,R88018
R47797,R71925
R69092,R69641
R66901,R48693
R64792,R64215
R82172,R99450
R66787,R47679
R44036,R83326
R24866,R90506
R48286,R10827
R20478,R28223
R35384,R87679
R43096,R24018
R54280,R96282
R76996,R34009
R12617,R36088
R41341,R14614
R79015,R69510
R63370,R95513
R26308,R63809
R75677,R64528
R91293,R53041
R47931,R99736
R77993,R91317
R52988,R56275
R22123,R94897
R11703,R11138
R99083,R87368
R98127,R25348
R76009,R43456
R48285,R71950
R10372,R24906
R23366,R27344
R74380,R53808
R94277,R47252
R38802,R42784
R92899,R76899
R56414,R69144
R29148,R74172
R61775,R83364
R12396,R85861
R86974,R39818
R81437,R83613
R30370,R71421
R79758,R26113
R16272,R63709
R47323,R49978
R96848,R68868
R18416,R37023
R21839,R66161
R72036,R93213
R54912,R57498
R12482,R31739
R78193,R96839
R84267,R77729
R74266,R56723
R53840,R90797
R48432,R45785
R18780,R51791
R91980,R55625
R66312,R40994
R72571,R67111
R48622,R50882
R43503,R90338
R61338,R82160
R73016,R23435
R18700,R38463
R73341,R38570
R51062,R64291
R57782,R98457
R86088,R16052
R11577,R74148
R98893,R99094
R57989,R96335
R88380,R84058
R95640,R46359
R93494,R85362
R27604,R46579
R75999,R88286
R83684,R53958
R24987,R25186
R26737,R77960
R84269,R51652
R64164,R57853
R35944,R57562
R19768,R35481
R48382,R19436
R56696,R89104
R70487,R25802
R85509,R23334
R98781,R98412
R72277,R61329
R64117,R13020
R19110,R32283
R13094,R13745
R36876,R55514
R16371,R48184
R17895,R68759
R18258,R17992
R27806,R51894
R81476,R97280
R60084,R19698
R38279,R94201
R90583,R38703
R47555,R58966
R65406,R82647
R26892,R10697
R37985,R44197
R41689,R64553
R14165,R71561
R22560,R12509
R91979,R68260
R35977,R64406
R66960,R51680
R70956,R97514
R69962,R39704
R74041,R13149
R72304,R83443
R91274,R15405
R86231,R56421
R50531,R73152
R51097,R50036
R21420,R12521
R62773,R64092
R99828,R81459
R86860,R13442
R32465,R26108
R21746,R98760
R77171,R24922
R54828,R98181
R26895,R94706
R62085,R13300
R28482,R56383
R31944,R48440
R54660,R44689
R69499,R53609
R89280,R97761
R76526,R13705
R46895,R25946
R88071,R45162
R70621,R82503
R47047,R24706
R89046,R38125
R54099,R90919
R88869,R88236
R68483,R51023
R37827,R92998
R54238,R50752
R81570,R40232
R50468,R44076
R21749,R80347
R78221,R47258
R96305,R33688
R83714,R67766
R48876,R29193
R87334,R87491
R31752,R89457
R68560,R94835
R14518,R71952
R81789,R71775
R90327,R61742
R57938,R24680
R65471,R45313
R23146,R72455
R10190,R88328
R19399,R98671
R26476,R75869
R23636,R51742
R66895,R55426
R17931,R74277
R57251,R80116
